RhoA,RhoC,TJP1,param_value,param_name,delta,phenotype
0.091377,0.8259989999999999,0.48840000000000006,0.1,$RhoA_basal,0.7346219999999999,Hyper
0.21038800000000002,0.756839,0.4974,0.30000000000000004,$RhoA_basal,0.546451,Hyper
0.312611,0.7041330000000001,0.5014000000000001,0.5000000000000001,$RhoA_basal,0.3915220000000001,Hyper
0.39760399999999996,0.6486419999999999,0.501401,0.7000000000000002,$RhoA_basal,0.251038,Hyper
0.445368,0.638841,0.5085999999999999,0.9000000000000001,$RhoA_basal,0.193473,Normal
0.50236,0.598061,0.49460099999999996,1.1,$RhoA_basal,0.09570099999999993,Normal
0.533139,0.585943,0.49139999999999995,1.3000000000000003,$RhoA_basal,0.05280399999999996,Normal
0.48504700000000006,0.522906,0.4928,1.0,$RhoC_mod,0.03785899999999992,Normal
0.444207,0.6028089999999999,0.4998,2.0,$RhoC_mod,0.1586019999999999,Normal
0.41563,0.648557,0.5034000000000001,3.0,$RhoC_mod,0.23292700000000005,Normal
0.409348,0.663265,0.5028009999999999,4.0,$RhoC_mod,0.253917,Hyper
0.401762,0.684165,0.49799899999999997,5.0,$RhoC_mod,0.282403,Hyper
0.380711,0.69528,0.5,6.0,$RhoC_mod,0.314569,Hyper
0.38894799999999996,0.696375,0.5004,7.0,$RhoC_mod,0.307427,Hyper
0.527316,0.462479,0.5206,0.1,$RhoC_basal,-0.06483700000000003,Normal
0.48347,0.533941,0.5024010000000001,0.30000000000000004,$RhoC_basal,0.05047099999999999,Normal
0.441284,0.590868,0.5055999999999999,0.5000000000000001,$RhoC_basal,0.14958399999999994,Normal
0.433815,0.631867,0.49739999999999995,0.7000000000000002,$RhoC_basal,0.19805199999999995,Normal
0.397182,0.6667099999999999,0.505,0.9000000000000001,$RhoC_basal,0.26952799999999993,Hyper
0.38341600000000003,0.69535,0.5004000000000001,1.1,$RhoC_basal,0.311934,Hyper
0.387211,0.7038610000000001,0.4972,1.3000000000000003,$RhoC_basal,0.31665000000000004,Hyper
