DSP,JCAD,RhoA,RhoC,param_value,param_name,delta,phenotype
0.502001,0.498401,0.67491,0.39096200000000003,5.0,$RhoA_amp,-0.283948,Failed
0.492601,0.502,0.6795620000000001,0.398663,9.0,$RhoA_amp,-0.2808990000000001,Failed
0.4984,0.49520000000000003,0.691177,0.39629800000000004,13.0,$RhoA_amp,-0.294879,Failed
0.505001,0.498602,0.684253,0.40150600000000003,17.0,$RhoA_amp,-0.28274699999999997,Failed
0.48919999999999997,0.4984,0.684013,0.39803800000000006,21.0,$RhoA_amp,-0.2859749999999999,Failed
0.5048,0.49820000000000003,0.692987,0.39758200000000005,25.0,$RhoA_amp,-0.295405,Failed
0.49059899999999995,0.496798,0.691778,0.395185,29.0,$RhoA_amp,-0.296593,Failed
0.495401,0.5022,0.69824,0.385978,33.0,$RhoA_amp,-0.312262,Failed
0.510999,0.5012,0.694992,0.391143,37.0,$RhoA_amp,-0.30384900000000004,Failed
0.49239800000000006,0.49879900000000005,0.689386,0.397137,41.0,$RhoA_amp,-0.29224900000000004,Failed
0.498,0.47940000000000005,0.693855,0.393295,45.0,$RhoA_amp,-0.30056,Failed
0.5006,0.506,0.696247,0.398781,49.0,$RhoA_amp,-0.29746599999999995,Failed
0.4928,0.5092019999999999,0.693081,0.40242300000000003,53.0,$RhoA_amp,-0.2906579999999999,Failed
0.503001,0.507201,0.6976309999999999,0.38246,57.0,$RhoA_amp,-0.31517099999999987,Failed
0.5001990000000001,0.49919800000000003,0.613323,0.44521200000000005,1.0,$RhoA_mod,-0.1681109999999999,Normal
0.5054019999999999,0.490001,0.670793,0.403049,2.0,$RhoA_mod,-0.267744,Failed
0.5068,0.5012,0.694547,0.389252,3.0,$RhoA_mod,-0.30529500000000004,Failed
0.5092,0.5006,0.6997589999999999,0.39100900000000005,4.0,$RhoA_mod,-0.30874999999999986,Failed
0.49519899999999994,0.49040000000000006,0.698254,0.38418099999999994,5.0,$RhoA_mod,-0.3140730000000001,Failed
0.5042,0.5062,0.7215750000000001,0.37133900000000003,6.0,$RhoA_mod,-0.35023600000000005,Failed
0.5028,0.5054000000000001,0.7156060000000001,0.37598800000000004,7.0,$RhoA_mod,-0.33961800000000003,Failed
0.49419899999999994,0.48919899999999994,0.791867,0.30871499999999996,1.0,$RhoA_antagonistic,-0.483152,Failed
0.489001,0.500201,0.756849,0.351644,1.5,$RhoA_antagonistic,-0.405205,Failed
0.4795999999999999,0.489599,0.73576,0.36047700000000005,2.0,$RhoA_antagonistic,-0.3752829999999999,Failed
0.501001,0.5046,0.695495,0.387947,2.5,$RhoA_antagonistic,-0.307548,Failed
0.5038009999999999,0.4962,0.6721220000000001,0.40124999999999994,3.0,$RhoA_antagonistic,-0.27087200000000017,Failed
0.491599,0.49719800000000003,0.656989,0.412441,3.5,$RhoA_antagonistic,-0.24454800000000004,Normal
0.511002,0.5100020000000001,0.6450480000000001,0.428514,4.0,$RhoA_antagonistic,-0.21653400000000006,Normal
0.49479900000000004,0.5000000000000001,0.611789,0.44777100000000003,4.5,$RhoA_antagonistic,-0.164018,Normal
0.510199,0.49400099999999997,0.6165449999999999,0.44829199999999997,5.0,$RhoA_antagonistic,-0.16825299999999993,Normal
0.49560000000000004,0.504201,0.587092,0.46181399999999995,5.5,$RhoA_antagonistic,-0.125278,Normal
0.4992,0.504001,0.577327,0.46968599999999994,6.0,$RhoA_antagonistic,-0.1076410000000001,Normal
0.49940000000000007,0.4984,0.5553330000000001,0.497031,6.5,$RhoA_antagonistic,-0.058302000000000076,Normal
0.498999,0.5024000000000001,0.547053,0.491039,7.0,$RhoA_antagonistic,-0.05601400000000001,Normal
0.495599,0.501,0.547625,0.49232299999999996,7.5,$RhoA_antagonistic,-0.05530200000000007,Normal
0.503799,0.500799,0.537648,0.494828,8.0,$RhoA_antagonistic,-0.042820000000000025,Normal
0.48960099999999995,0.4984019999999999,0.5280619999999999,0.510095,8.5,$RhoA_antagonistic,-0.017966999999999955,Normal
0.501598,0.49179999999999996,0.5005080000000001,0.5337780000000001,9.0,$RhoA_antagonistic,0.03327000000000002,Normal
0.505801,0.5092,0.520071,0.514238,9.5,$RhoA_antagonistic,-0.005832999999999977,Normal
0.5139999999999999,0.49699999999999994,0.7241799999999999,0.377374,0.05,$RhoA_decay,-0.34680599999999995,Failed
0.508799,0.499601,0.693042,0.39807299999999995,0.15000000000000002,$RhoA_decay,-0.2949690000000001,Failed
0.5044,0.4963989999999999,0.6672229999999999,0.394659,0.25000000000000006,$RhoA_decay,-0.2725639999999999,Failed
0.5,0.51,0.653761,0.396729,0.3500000000000001,$RhoA_decay,-0.25703200000000004,Failed
0.487198,0.491599,0.624203,0.41565199999999997,0.45000000000000007,$RhoA_decay,-0.208551,Normal
0.501199,0.509399,0.630884,0.40022899999999995,0.55,$RhoA_decay,-0.23065500000000005,Normal
0.511201,0.48399899999999996,0.611971,0.405165,0.6500000000000001,$RhoA_decay,-0.20680600000000005,Normal
0.49420000000000003,0.493601,0.5722820000000001,0.417568,0.7500000000000001,$RhoA_decay,-0.15471400000000007,Normal
0.5122,0.499401,0.576673,0.41697300000000004,0.8500000000000002,$RhoA_decay,-0.15969999999999995,Normal
0.504601,0.5045999999999999,0.569462,0.412599,0.9500000000000002,$RhoA_decay,-0.15686300000000003,Normal
