DSP,JCAD,RhoA,RhoC,param_value,param_name,delta,phenotype
0.500599,0.499199,0.6746239999999999,0.398171,5.0,$RhoA_amp,-0.2764529999999999,Failed
0.4902000000000001,0.4998,0.6790759999999999,0.403094,9.0,$RhoA_amp,-0.2759819999999999,Failed
0.5036,0.5038,0.695562,0.394553,13.0,$RhoA_amp,-0.301009,Failed
0.49640100000000004,0.497,0.6795599999999999,0.39689,17.0,$RhoA_amp,-0.2826699999999999,Failed
0.498201,0.501401,0.699905,0.39611500000000005,21.0,$RhoA_amp,-0.30378999999999995,Failed
0.504799,0.5069999999999999,0.699384,0.39149,25.0,$RhoA_amp,-0.307894,Failed
0.502599,0.508799,0.703317,0.38830600000000004,29.0,$RhoA_amp,-0.31501099999999993,Failed
0.5,0.493,0.69703,0.39060800000000007,33.0,$RhoA_amp,-0.30642199999999997,Failed
0.5072010000000001,0.492001,0.690412,0.395993,37.0,$RhoA_amp,-0.29441900000000004,Failed
0.5027999999999999,0.48959899999999995,0.6920039999999998,0.40069400000000005,41.0,$RhoA_amp,-0.2913099999999998,Failed
0.4922010000000001,0.4886,0.6904180000000001,0.395975,45.0,$RhoA_amp,-0.29444300000000007,Failed
0.517598,0.500799,0.6976969999999999,0.38619000000000003,49.0,$RhoA_amp,-0.31150699999999987,Failed
0.501,0.5132,0.694836,0.392128,53.0,$RhoA_amp,-0.30270800000000003,Failed
0.49499899999999997,0.49899999999999994,0.699019,0.3862189999999999,57.0,$RhoA_amp,-0.3128,Failed
0.491599,0.49660099999999996,0.6157619999999999,0.442695,1.0,$RhoA_mod,-0.17306699999999992,Normal
0.497401,0.5058,0.6539050000000001,0.41519500000000004,2.0,$RhoA_mod,-0.23871000000000003,Normal
0.4993989999999999,0.5088,0.679832,0.398999,3.0,$RhoA_mod,-0.280833,Failed
0.5011990000000001,0.49,0.685119,0.392564,4.0,$RhoA_mod,-0.292555,Failed
0.501,0.504001,0.704049,0.376912,5.0,$RhoA_mod,-0.327137,Failed
0.501999,0.48940000000000006,0.698065,0.38966199999999995,6.0,$RhoA_mod,-0.3084030000000001,Failed
0.4912,0.49879999999999997,0.7044659999999999,0.38569,7.0,$RhoA_mod,-0.31877599999999995,Failed
0.486001,0.49560000000000004,0.47542799999999996,0.523898,0.1,$RhoA_basal,0.04847000000000001,Normal
0.5022,0.504999,0.571658,0.466882,0.30000000000000004,$RhoA_basal,-0.10477599999999998,Normal
0.501,0.501201,0.637448,0.428093,0.5000000000000001,$RhoA_basal,-0.209355,Normal
0.5046,0.514001,0.6709350000000001,0.40473900000000007,0.7000000000000002,$RhoA_basal,-0.266196,Failed
0.49179900000000004,0.505599,0.6989230000000002,0.389945,0.9000000000000001,$RhoA_basal,-0.3089780000000002,Failed
0.4858,0.4912,0.716009,0.385938,1.1,$RhoA_basal,-0.330071,Failed
0.511201,0.4918,0.7502590000000001,0.354328,1.3000000000000003,$RhoA_basal,-0.39593100000000014,Failed
0.4906,0.502601,0.8007280000000001,0.311465,1.0,$RhoA_antagonistic,-0.4892630000000001,Failed
0.507999,0.500799,0.76011,0.35235900000000003,1.5,$RhoA_antagonistic,-0.4077509999999999,Failed
0.5028,0.4998,0.731441,0.362122,2.0,$RhoA_antagonistic,-0.369319,Failed
0.5021990000000001,0.5,0.711572,0.37064600000000003,2.5,$RhoA_antagonistic,-0.34092599999999995,Failed
0.49440100000000003,0.5066010000000001,0.685428,0.397827,3.0,$RhoA_antagonistic,-0.28760100000000005,Failed
0.5039999999999999,0.502599,0.669109,0.40331999999999996,3.5,$RhoA_antagonistic,-0.265789,Failed
0.496799,0.497599,0.6374569999999999,0.42855899999999997,4.0,$RhoA_antagonistic,-0.20889799999999997,Normal
0.502001,0.5050020000000002,0.616573,0.4408500000000001,4.5,$RhoA_antagonistic,-0.17572299999999996,Normal
0.499599,0.509199,0.606441,0.447251,5.0,$RhoA_antagonistic,-0.15919,Normal
0.508,0.501,0.5913480000000001,0.46740999999999994,5.5,$RhoA_antagonistic,-0.12393800000000016,Normal
0.5126,0.491,0.57619,0.48377800000000004,6.0,$RhoA_antagonistic,-0.09241199999999994,Normal
0.49699899999999997,0.5091999999999999,0.571244,0.47689099999999995,6.5,$RhoA_antagonistic,-0.09435300000000002,Normal
0.505601,0.503399,0.545355,0.49523,7.0,$RhoA_antagonistic,-0.05012500000000003,Normal
0.49839999999999995,0.4842,0.550418,0.49278099999999997,7.5,$RhoA_antagonistic,-0.057636999999999994,Normal
0.49859999999999993,0.505399,0.533561,0.503447,8.0,$RhoA_antagonistic,-0.030113999999999974,Normal
0.485,0.507999,0.519505,0.5219,8.5,$RhoA_antagonistic,0.002395000000000036,Normal
0.5092,0.49839999999999995,0.518178,0.5132540000000001,9.0,$RhoA_antagonistic,-0.0049239999999999284,Normal
0.500401,0.49960099999999996,0.508409,0.530237,9.5,$RhoA_antagonistic,0.02182799999999996,Normal
0.5022,0.48760000000000003,0.725236,0.37993699999999997,0.05,$RhoA_decay,-0.345299,Failed
0.49240100000000003,0.5014,0.685343,0.39411999999999997,0.15000000000000002,$RhoA_decay,-0.29122300000000007,Failed
0.49999899999999997,0.503,0.677605,0.3962220000000001,0.25000000000000006,$RhoA_decay,-0.28138299999999994,Failed
0.4915999999999999,0.505,0.64191,0.41026300000000004,0.3500000000000001,$RhoA_decay,-0.23164699999999994,Normal
0.5002,0.510199,0.625217,0.403901,0.45000000000000007,$RhoA_decay,-0.221316,Normal
0.507402,0.502202,0.6024079999999999,0.422576,0.55,$RhoA_decay,-0.17983199999999994,Normal
0.501,0.49919800000000003,0.6019869999999999,0.41222899999999996,0.6500000000000001,$RhoA_decay,-0.18975799999999998,Normal
0.49600099999999997,0.507001,0.590366,0.415643,0.7500000000000001,$RhoA_decay,-0.17472299999999996,Normal
0.49360000000000004,0.49439900000000003,0.571102,0.4210690000000001,0.8500000000000002,$RhoA_decay,-0.15003299999999992,Normal
0.498999,0.5022,0.5689750000000001,0.41446199999999994,0.9500000000000002,$RhoA_decay,-0.15451300000000018,Normal
0.49559899999999996,0.5048,0.6859329999999999,0.402256,5.0,$RhoC_amp,-0.2836769999999999,Failed
0.5074,0.49239999999999995,0.684052,0.393996,9.0,$RhoC_amp,-0.290056,Failed
0.504401,0.49780099999999994,0.683569,0.39718499999999995,13.0,$RhoC_amp,-0.286384,Failed
