DSP,JCAD,RhoA,RhoC,TJP1,param_value,param_name,delta,phenotype
0.507,0.490798,0.5745979999999999,0.603751,0.507599,5.0,$RhoA_amp,0.029153000000000096,Normal
0.507401,0.5060020000000001,0.603112,0.593434,0.498201,9.0,$RhoA_amp,-0.009677999999999964,Normal
0.501399,0.507799,0.598628,0.598057,0.5018020000000001,13.0,$RhoA_amp,-0.0005710000000000992,Normal
0.5048009999999999,0.5025999999999999,0.612757,0.595932,0.500001,17.0,$RhoA_amp,-0.01682499999999998,Normal
0.504999,0.4996,0.6096839999999999,0.600118,0.5047990000000001,21.0,$RhoA_amp,-0.009565999999999852,Normal
0.493401,0.5022,0.610312,0.600412,0.5134,25.0,$RhoA_amp,-0.00990000000000002,Normal
0.5008,0.501202,0.616732,0.5865080000000001,0.498001,29.0,$RhoA_amp,-0.030223999999999807,Normal
0.49319999999999997,0.5118010000000001,0.616475,0.597375,0.511601,33.0,$RhoA_amp,-0.019100000000000006,Normal
0.492399,0.502599,0.619749,0.5834170000000001,0.48339899999999997,37.0,$RhoA_amp,-0.03633199999999992,Normal
0.499398,0.503196,0.6197020000000001,0.5871730000000001,0.49719800000000003,41.0,$RhoA_amp,-0.03252900000000003,Normal
0.498398,0.5127999999999999,0.624403,0.594917,0.509599,45.0,$RhoA_amp,-0.029486000000000012,Normal
0.498002,0.5068020000000001,0.630486,0.5759169999999999,0.494401,49.0,$RhoA_amp,-0.05456900000000009,Normal
0.4986,0.4904,0.6094459999999999,0.592962,0.4914,53.0,$RhoA_amp,-0.016483999999999943,Normal
0.5009989999999999,0.4974,0.6331190000000001,0.5829840000000001,0.48960200000000004,57.0,$RhoA_amp,-0.05013500000000004,Normal
0.506598,0.519199,0.546709,0.621205,0.4993989999999999,1.0,$RhoA_mod,0.074496,Normal
0.511399,0.489001,0.586604,0.59551,0.48760099999999995,2.0,$RhoA_mod,0.00890599999999997,Normal
0.497201,0.502201,0.596981,0.591181,0.498401,3.0,$RhoA_mod,-0.005800000000000027,Normal
0.49459900000000007,0.497,0.6036860000000002,0.5960000000000001,0.492199,4.0,$RhoA_mod,-0.007686000000000082,Normal
0.502202,0.4976,0.6201880000000001,0.58329,0.5015999999999999,5.0,$RhoA_mod,-0.0368980000000001,Normal
0.49919900000000006,0.4907999999999999,0.622499,0.579435,0.5043989999999999,6.0,$RhoA_mod,-0.04306399999999999,Normal
0.507,0.500399,0.6374550000000001,0.5727,0.500399,7.0,$RhoA_mod,-0.06475500000000012,Normal
0.500398,0.5141979999999999,0.43238000000000004,0.682048,0.4945990000000001,0.1,$RhoA_basal,0.24966799999999995,Normal
0.49100000000000005,0.4894,0.492927,0.643712,0.5004000000000001,0.30000000000000004,$RhoA_basal,0.15078499999999995,Normal
0.499401,0.5082,0.5517969999999999,0.6098899999999998,0.499202,0.5000000000000001,$RhoA_basal,0.05809299999999995,Normal
0.5064000000000001,0.496199,0.5873,0.611052,0.5116010000000001,0.7000000000000002,$RhoA_basal,0.023751999999999995,Normal
0.508201,0.5038,0.611189,0.5841609999999999,0.5063989999999999,0.9000000000000001,$RhoA_basal,-0.027028000000000052,Normal
0.5025989999999999,0.49140000000000006,0.638871,0.566804,0.485399,1.1,$RhoA_basal,-0.07206699999999999,Normal
0.5104,0.510001,0.6556179999999999,0.568256,0.500402,1.3000000000000003,$RhoA_basal,-0.08736199999999994,Normal
0.5022,0.49219899999999994,0.760346,0.5160969999999999,0.506001,1.0,$RhoA_antagonistic,-0.24424900000000005,Normal
0.4976,0.499801,0.700364,0.538599,0.49860000000000004,1.5,$RhoA_antagonistic,-0.16176499999999994,Normal
0.506,0.506,0.6539069999999999,0.563872,0.501601,2.0,$RhoA_antagonistic,-0.09003499999999987,Normal
0.490398,0.503198,0.6177520000000001,0.583197,0.505597,2.5,$RhoA_antagonistic,-0.03455500000000011,Normal
0.4938,0.49260000000000004,0.5926560000000001,0.596115,0.49860000000000004,3.0,$RhoA_antagonistic,0.003458999999999879,Normal
0.49199899999999996,0.484799,0.565063,0.619906,0.499599,3.5,$RhoA_antagonistic,0.054842999999999975,Normal
0.5014,0.49360000000000004,0.555955,0.61743,0.497,4.0,$RhoA_antagonistic,0.06147500000000006,Normal
0.4962,0.484199,0.526253,0.631008,0.501599,4.5,$RhoA_antagonistic,0.10475500000000004,Normal
0.49660000000000004,0.4934,0.5044309999999999,0.6362639999999999,0.48879999999999996,5.0,$RhoA_antagonistic,0.1318330000000001,Normal
0.49060000000000004,0.504001,0.49211499999999997,0.651015,0.5023989999999999,5.5,$RhoA_antagonistic,0.15890000000000004,Normal
0.4998,0.506,0.48124100000000003,0.65056,0.500201,6.0,$RhoA_antagonistic,0.169319,Normal
0.47980100000000003,0.505001,0.4692200000000001,0.6711089999999998,0.500801,6.5,$RhoA_antagonistic,0.20188899999999976,Normal
0.5033989999999999,0.4934,0.45239199999999996,0.664866,0.5112,7.0,$RhoA_antagonistic,0.212474,Normal
0.503202,0.498799,0.44412199999999996,0.67428,0.49940100000000004,7.5,$RhoA_antagonistic,0.23015800000000003,Normal
0.49940100000000004,0.496401,0.431723,0.678063,0.510399,8.0,$RhoA_antagonistic,0.24633999999999995,Normal
0.495601,0.495,0.416416,0.6988789999999999,0.5056,8.5,$RhoA_antagonistic,0.2824629999999999,Hyper
0.510403,0.508203,0.422378,0.6901619999999999,0.498601,9.0,$RhoA_antagonistic,0.26778399999999997,Hyper
0.49719900000000006,0.49839800000000006,0.407185,0.701387,0.508398,9.5,$RhoA_antagonistic,0.29420199999999996,Hyper
