DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.5017999999999999,0.496,0.574348,0.595281,0.491401,$RhoA_amp,5.0,WT,0.02093299999999998,Normal
0.503001,0.499801,0.602425,0.585154,0.501402,$RhoA_amp,10.0,WT,-0.017271000000000036,Normal
0.4965989999999999,0.504999,0.6001500000000002,0.6083219999999999,0.5154,$RhoA_amp,15.0,WT,0.008171999999999735,Normal
0.5012,0.49419899999999994,0.605991,0.59339,0.5035999999999999,$RhoA_amp,20.0,WT,-0.012600999999999973,Normal
0.5096010000000001,0.49420200000000003,0.6123329999999999,0.597607,0.5110009999999999,$RhoA_amp,25.0,WT,-0.014725999999999906,Normal
0.48740100000000003,0.506799,0.600701,0.603643,0.49940000000000007,$RhoA_amp,30.0,WT,0.002942,Normal
0.49420000000000003,0.49979900000000005,0.616614,0.585887,0.49319900000000005,$RhoA_amp,35.0,WT,-0.03072699999999995,Normal
0.497599,0.492798,0.621891,0.5912360000000001,0.4976,$RhoA_amp,40.0,WT,-0.030654999999999877,Normal
0.5069980000000001,0.500999,0.630529,0.586581,0.503599,$RhoA_amp,45.0,WT,-0.04394799999999999,Normal
0.4917999999999999,0.500001,0.62113,0.5869039999999999,0.5017989999999999,$RhoA_amp,50.0,WT,-0.03422600000000009,Normal
0.49,0.4958,0.618531,0.595414,0.49180100000000004,$RhoA_amp,55.0,WT,-0.023117000000000054,Normal
0.5072,0.49799899999999997,0.526666,0.626517,0.49360000000000004,$RhoA_mod,1.0,WT,0.09985100000000002,Normal
0.49659899999999996,0.489999,0.584171,0.607165,0.48959900000000006,$RhoA_mod,2.0,WT,0.02299399999999996,Normal
0.49459899999999996,0.488398,0.5881730000000001,0.589022,0.494799,$RhoA_mod,3.0,WT,0.0008489999999999887,Normal
0.5008009999999999,0.499,0.618239,0.5902299999999999,0.503199,$RhoA_mod,4.0,WT,-0.02800900000000006,Normal
0.498199,0.49659899999999996,0.62306,0.5844720000000001,0.501399,$RhoA_mod,5.0,WT,-0.038587999999999845,Normal
0.5002,0.49899899999999997,0.626094,0.580409,0.499798,$RhoA_mod,6.0,WT,-0.04568500000000009,Normal
0.5104029999999999,0.507003,0.6477679999999999,0.565627,0.5016019999999999,$RhoA_mod,7.0,WT,-0.08214099999999991,Normal
0.500201,0.49679999999999996,0.440959,0.668948,0.490201,$RhoA_basal,0.1,WT,0.227989,Normal
0.496599,0.5105999999999999,0.573657,0.607235,0.48660000000000003,$RhoA_basal,0.6,WT,0.033578,Normal
0.49999999999999994,0.5012,0.635571,0.5758489999999999,0.49800099999999997,$RhoA_basal,1.1,WT,-0.05972200000000005,Normal
0.5009979999999999,0.49879700000000005,0.754884,0.5211340000000001,0.505397,$RhoA_antagonistic,1.0,WT,-0.2337499999999999,Normal
0.49939999999999996,0.496799,0.663188,0.556002,0.4996,$RhoA_antagonistic,2.0,WT,-0.107186,Normal
0.4880010000000001,0.486199,0.594863,0.5925630000000001,0.5128,$RhoA_antagonistic,3.0,WT,-0.0022999999999999687,Normal
0.502801,0.494001,0.534373,0.626371,0.5015999999999999,$RhoA_antagonistic,4.0,WT,0.09199800000000002,Normal
0.501398,0.500597,0.5143169999999999,0.638558,0.502399,$RhoA_antagonistic,5.0,WT,0.12424100000000005,Normal
0.48160100000000006,0.4998,0.47495999999999994,0.651697,0.501001,$RhoA_antagonistic,6.0,WT,0.17673700000000003,Normal
0.49859900000000007,0.49539900000000003,0.45671800000000007,0.6596500000000001,0.5015990000000001,$RhoA_antagonistic,7.0,WT,0.202932,Normal
0.501,0.48919999999999997,0.42879599999999995,0.6766340000000001,0.4948,$RhoA_antagonistic,8.0,WT,0.2478380000000001,Normal
0.503201,0.5062000000000001,0.41251899999999997,0.694536,0.49200099999999997,$RhoA_antagonistic,9.0,WT,0.2820170000000001,Hyper
0.495398,0.5147999999999999,0.403184,0.7006669999999999,0.505199,$RhoA_antagonistic,10.0,WT,0.29748299999999994,Hyper
0.498001,0.49339900000000003,0.386632,0.7006420000000001,0.49280100000000004,$RhoA_antagonistic,11.0,WT,0.3140100000000001,Hyper
0.493801,0.4918,0.36760399999999993,0.717681,0.501999,$RhoA_antagonistic,12.0,WT,0.3500770000000001,Hyper
0.501802,0.494,0.356759,0.723572,0.502402,$RhoA_antagonistic,13.0,WT,0.366813,Hyper
0.498,0.47219900000000004,0.344757,0.7244010000000001,0.503999,$RhoA_antagonistic,14.0,WT,0.3796440000000001,Hyper
0.510999,0.506998,0.6224239999999999,0.582091,0.491799,$RhoA_decay,0.05,WT,-0.04033299999999984,Normal
0.5058010000000001,0.5045989999999999,0.602519,0.603252,0.49759899999999996,$RhoA_decay,0.15000000000000002,WT,0.0007329999999999837,Normal
0.5062,0.496401,0.5985189999999999,0.5895419999999999,0.49739999999999995,$RhoA_decay,0.25000000000000006,WT,-0.008977000000000013,Normal
0.4971999999999999,0.508599,0.5792210000000001,0.599118,0.5055989999999999,$RhoA_decay,0.3500000000000001,WT,0.019896999999999943,Normal
0.49039999999999995,0.49560099999999996,0.565413,0.6000779999999999,0.49159899999999995,$RhoA_decay,0.45000000000000007,WT,0.034664999999999835,Normal
0.503401,0.503201,0.552776,0.612914,0.505201,$RhoA_decay,0.55,WT,0.060137999999999914,Normal
0.502801,0.5062,0.541716,0.6007940000000002,0.5020020000000001,$RhoA_decay,0.6500000000000001,WT,0.059078000000000186,Normal
0.504999,0.49979900000000005,0.546135,0.5965140000000001,0.4951989999999999,$RhoA_decay,0.7500000000000001,WT,0.05037900000000006,Normal
