DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.507203,0.5078,0.411386,0.686487,0.4971999999999999,15.0,11.0,WT,Escape_Threshold_RhoA,0.275101,Hyper
0.503,0.496999,0.389617,0.7090440000000001,0.4987999999999999,15.0,12.0,WT,Escape_Threshold_RhoA,0.3194270000000001,Hyper
0.504802,0.5047999999999999,0.386231,0.705929,0.506801,15.0,13.0,WT,Escape_Threshold_RhoA,0.31969800000000004,Hyper
0.49320099999999995,0.49879999999999997,0.35038400000000003,0.7293060000000001,0.5078,15.0,14.0,WT,Escape_Threshold_RhoA,0.3789220000000001,Hyper
0.5007999999999999,0.501403,0.756429,0.523444,0.5052009999999999,20.0,1.0,WT,Escape_Threshold_RhoA,-0.232985,Normal
0.490199,0.5054000000000001,0.675079,0.5518569999999999,0.49660000000000004,20.0,2.0,WT,Escape_Threshold_RhoA,-0.12322200000000005,Normal
0.5039990000000001,0.498799,0.6079840000000001,0.6003860000000001,0.503399,20.0,3.0,WT,Escape_Threshold_RhoA,-0.007597999999999994,Normal
0.503399,0.512401,0.568177,0.6215930000000001,0.503002,20.0,4.0,WT,Escape_Threshold_RhoA,0.05341600000000002,Normal
0.497602,0.490001,0.5279929999999999,0.627221,0.485403,20.0,5.0,WT,Escape_Threshold_RhoA,0.0992280000000001,Normal
0.496401,0.5028,0.504956,0.645399,0.491201,20.0,6.0,WT,Escape_Threshold_RhoA,0.14044299999999998,Normal
0.504602,0.494402,0.487355,0.659242,0.5084029999999999,20.0,7.0,WT,Escape_Threshold_RhoA,0.171887,Normal
0.4972019999999999,0.49100199999999994,0.4655029999999999,0.6586339999999999,0.49419899999999994,20.0,8.0,WT,Escape_Threshold_RhoA,0.19313100000000005,Normal
0.519601,0.5065999999999999,0.458393,0.6713399999999999,0.506999,20.0,9.0,WT,Escape_Threshold_RhoA,0.21294699999999994,Normal
0.49579900000000005,0.49979900000000005,0.426398,0.6800170000000001,0.49259900000000006,20.0,10.0,WT,Escape_Threshold_RhoA,0.2536190000000001,Hyper
0.5025999999999999,0.507801,0.41908700000000004,0.6871480000000001,0.496201,20.0,11.0,WT,Escape_Threshold_RhoA,0.26806100000000005,Hyper
0.504399,0.49659899999999996,0.39923099999999995,0.7085049999999999,0.498399,20.0,12.0,WT,Escape_Threshold_RhoA,0.309274,Hyper
0.4953989999999999,0.5010000000000001,0.38283,0.7055380000000001,0.4992,20.0,13.0,WT,Escape_Threshold_RhoA,0.3227080000000001,Hyper
0.495399,0.5038,0.3737889999999999,0.712423,0.49540000000000006,20.0,14.0,WT,Escape_Threshold_RhoA,0.3386340000000001,Hyper
0.484999,0.5011980000000001,0.748681,0.528579,0.5111990000000001,25.0,1.0,WT,Escape_Threshold_RhoA,-0.22010200000000002,Normal
0.506601,0.511601,0.669419,0.5604790000000001,0.488801,25.0,2.0,WT,Escape_Threshold_RhoA,-0.10893999999999993,Normal
0.511801,0.5,0.625115,0.573752,0.48720099999999994,25.0,3.0,WT,Escape_Threshold_RhoA,-0.051362999999999936,Normal
0.503,0.5054,0.5721829999999999,0.6078169999999999,0.508,25.0,4.0,WT,Escape_Threshold_RhoA,0.035634000000000055,Normal
0.4926,0.496799,0.541896,0.626047,0.5012,25.0,5.0,WT,Escape_Threshold_RhoA,0.08415099999999998,Normal
0.49639799999999995,0.494399,0.501227,0.6513430000000001,0.49979899999999994,25.0,6.0,WT,Escape_Threshold_RhoA,0.15011600000000014,Normal
0.5031990000000001,0.5014000000000001,0.48513500000000004,0.6603,0.4926020000000001,25.0,7.0,WT,Escape_Threshold_RhoA,0.17516499999999996,Normal
0.49400099999999997,0.502401,0.470094,0.665051,0.49360099999999996,25.0,8.0,WT,Escape_Threshold_RhoA,0.19495699999999994,Normal
0.48979899999999993,0.48759899999999995,0.44165499999999996,0.682269,0.500798,25.0,9.0,WT,Escape_Threshold_RhoA,0.24061400000000005,Normal
0.507201,0.49539999999999995,0.421841,0.695936,0.497799,25.0,10.0,WT,Escape_Threshold_RhoA,0.274095,Hyper
0.49840000000000007,0.512999,0.4291809999999999,0.6828,0.488198,25.0,11.0,WT,Escape_Threshold_RhoA,0.25361900000000004,Hyper
0.508799,0.49019899999999994,0.424802,0.685418,0.496,25.0,12.0,WT,Escape_Threshold_RhoA,0.26061599999999996,Hyper
0.5074010000000001,0.5126,0.3988520000000001,0.7022759999999999,0.488201,25.0,13.0,WT,Escape_Threshold_RhoA,0.3034239999999998,Hyper
0.499601,0.497401,0.38200999999999996,0.712136,0.494401,25.0,14.0,WT,Escape_Threshold_RhoA,0.33012600000000003,Hyper
0.513999,0.517398,0.7709560000000001,0.519844,0.5121979999999999,30.0,1.0,WT,Escape_Threshold_RhoA,-0.2511120000000001,Failed
0.49280299999999994,0.501802,0.677363,0.555191,0.5054029999999999,30.0,2.0,WT,Escape_Threshold_RhoA,-0.12217200000000006,Normal
0.49039999999999995,0.491399,0.603276,0.602838,0.5018,30.0,3.0,WT,Escape_Threshold_RhoA,-0.00043800000000004946,Normal
0.49760200000000004,0.492003,0.57425,0.6116510000000001,0.504401,30.0,4.0,WT,Escape_Threshold_RhoA,0.03740100000000002,Normal
0.489999,0.49739900000000004,0.540112,0.6281490000000001,0.49139999999999995,30.0,5.0,WT,Escape_Threshold_RhoA,0.08803700000000003,Normal
0.501601,0.4942,0.5160990000000001,0.641565,0.49720000000000003,30.0,6.0,WT,Escape_Threshold_RhoA,0.12546599999999997,Normal
0.5069980000000001,0.5048,0.4989,0.6643870000000001,0.501799,30.0,7.0,WT,Escape_Threshold_RhoA,0.16548700000000005,Normal
0.5027980000000001,0.48800000000000004,0.463696,0.667266,0.4916,30.0,8.0,WT,Escape_Threshold_RhoA,0.20357000000000003,Normal
0.505001,0.49779999999999996,0.448849,0.6827139999999999,0.5004009999999999,30.0,9.0,WT,Escape_Threshold_RhoA,0.23386499999999993,Normal
0.501601,0.509199,0.433832,0.6899170000000001,0.5086,30.0,10.0,WT,Escape_Threshold_RhoA,0.2560850000000001,Hyper
0.498001,0.4998,0.41946300000000003,0.6966060000000001,0.49119999999999997,30.0,11.0,WT,Escape_Threshold_RhoA,0.27714300000000003,Hyper
0.49179900000000004,0.497001,0.40908500000000003,0.7019529999999999,0.5112010000000001,30.0,12.0,WT,Escape_Threshold_RhoA,0.2928679999999999,Hyper
0.488,0.48439999999999994,0.398772,0.7090399999999999,0.498198,30.0,13.0,WT,Escape_Threshold_RhoA,0.3102679999999999,Hyper
0.5018020000000001,0.49480100000000005,0.40298100000000003,0.6976340000000001,0.499201,30.0,14.0,WT,Escape_Threshold_RhoA,0.29465300000000005,Hyper
0.5038009999999999,0.506201,0.761836,0.52308,0.49020199999999997,35.0,1.0,WT,Escape_Threshold_RhoA,-0.23875599999999997,Normal
0.5040000000000001,0.500599,0.677577,0.556211,0.505001,35.0,2.0,WT,Escape_Threshold_RhoA,-0.12136599999999997,Normal
0.4924,0.491,0.613448,0.595779,0.493599,35.0,3.0,WT,Escape_Threshold_RhoA,-0.017669000000000046,Normal
0.5036,0.48759900000000006,0.5752550000000001,0.615183,0.5122,35.0,4.0,WT,Escape_Threshold_RhoA,0.039927999999999964,Normal
0.498599,0.5050009999999999,0.543664,0.632162,0.49740000000000006,35.0,5.0,WT,Escape_Threshold_RhoA,0.08849799999999997,Normal
0.497399,0.498398,0.502522,0.646118,0.49819900000000006,35.0,6.0,WT,Escape_Threshold_RhoA,0.14359599999999995,Normal
0.501599,0.5057989999999999,0.498699,0.6640929999999999,0.493199,35.0,7.0,WT,Escape_Threshold_RhoA,0.16539399999999993,Normal
0.4943990000000001,0.5138010000000001,0.47778800000000005,0.6703159999999999,0.5002,35.0,8.0,WT,Escape_Threshold_RhoA,0.19252799999999987,Normal
0.506599,0.498401,0.4618459999999999,0.674522,0.4940009999999999,35.0,9.0,WT,Escape_Threshold_RhoA,0.21267600000000003,Normal
0.48720199999999997,0.503001,0.433832,0.6806840000000001,0.509601,35.0,10.0,WT,Escape_Threshold_RhoA,0.24685200000000007,Normal
0.506002,0.5054,0.426764,0.6927339999999998,0.503598,35.0,11.0,WT,Escape_Threshold_RhoA,0.2659699999999999,Hyper
0.4946,0.4964,0.41189000000000003,0.7045229999999998,0.5,35.0,12.0,WT,Escape_Threshold_RhoA,0.29263299999999975,Hyper
0.5014000000000001,0.509001,0.412067,0.702045,0.501201,35.0,13.0,WT,Escape_Threshold_RhoA,0.289978,Hyper
0.49079899999999993,0.5065990000000001,0.394696,0.7188140000000001,0.49559899999999996,35.0,14.0,WT,Escape_Threshold_RhoA,0.3241180000000001,Hyper
0.495799,0.493,0.7626619999999998,0.521988,0.503799,40.0,1.0,WT,Escape_Threshold_RhoA,-0.24067399999999983,Normal
0.4933989999999999,0.49319900000000005,0.677853,0.5509769999999999,0.48879999999999996,40.0,2.0,WT,Escape_Threshold_RhoA,-0.1268760000000001,Normal
