,<nil>,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
2.9,0.001978,0.0,0.0,0.0,0.0,0.011355,0.028101,0.076411,0.02732,0.005924,0.008736,0.004121,0.006481,0.019406,0.045823,0.454022,0.204932,0.017339,0.066357,0.021694
3.0,0.002163,0.0,0.0,0.0,0.0,0.01188,0.027846,0.076147,0.027832,0.004859,0.009097,0.004782,0.007031,0.019608,0.04667,0.451342,0.203398,0.01829,0.066265,0.022789
3.1,0.002398,0.0,0.0,0.0,0.0,0.013011,0.027743,0.075562,0.027783,0.004526,0.009403,0.004521,0.006525,0.019098,0.044722,0.451513,0.203896,0.019703,0.06618,0.023415
3.2,0.002153,0.0,0.0,0.0,0.0,0.01372,0.028429,0.077296,0.024807,0.00518,0.010064,0.0041,0.006684,0.020317,0.045077,0.447869,0.202815,0.019273,0.067357,0.02486
3.3,0.002284,0.0,0.0,0.0,0.0,0.013465,0.029015,0.078347,0.023624,0.005299,0.010266,0.004436,0.007112,0.020304,0.045998,0.445486,0.201939,0.019292,0.067563,0.02557
3.4,0.002312,0.0,0.0,0.0,0.0,0.013534,0.029753,0.08,0.021432,0.005628,0.00999,0.004791,0.007587,0.019799,0.046267,0.441869,0.203234,0.019833,0.068988,0.024983
3.5,0.002564,0.0,0.0,0.0,0.0,0.013517,0.029157,0.079817,0.022646,0.005317,0.010509,0.004585,0.008491,0.019807,0.047375,0.439853,0.200584,0.02161,0.070526,0.02364
3.6,0.003313,0.0,0.0,0.0,0.0,0.01291,0.029556,0.079063,0.023806,0.004338,0.011272,0.004848,0.008689,0.018959,0.049074,0.434463,0.201584,0.023593,0.071172,0.02336
3.7,0.003701,0.0,0.0,0.0,0.0,0.012585,0.030455,0.078238,0.024115,0.004845,0.010827,0.004466,0.008396,0.018642,0.047789,0.433526,0.202972,0.022831,0.071282,0.02533
3.8,0.003543,0.0,0.0,0.0,0.0,0.011934,0.031466,0.077592,0.02365,0.005424,0.01164,0.004111,0.007839,0.01751,0.044838,0.434633,0.206681,0.022758,0.070909,0.025472
3.9,0.003641,0.0,0.0,0.0,0.0,0.012209,0.031167,0.076058,0.024911,0.005548,0.011401,0.004173,0.008405,0.017608,0.043323,0.431671,0.209984,0.022028,0.071481,0.026392
