snakeID,length,theta,cell_name,cell_axis_angle,Cell_Area,theta_to_cell_axis
1737,25.61123280883538,15.299135805064228,HSS_siRhoC_1_roi0,28.773,60297,-13.473864194935771
1747,23.31953275361304,-35.35183374283296,HSS_siRhoC_1_roi0,28.773,60297,-64.12483374283296
1752,28.006094644412055,42.3887956457788,HSS_siRhoC_1_roi0,28.773,60297,13.615795645778803
1756,32.493556900788676,63.96404269430451,HSS_siRhoC_1_roi0,28.773,60297,35.191042694304514
1757,100.21317069143964,25.55191042634813,HSS_siRhoC_1_roi0,28.773,60297,-3.2210895736518665
1762,29.49659966082787,-1.2914617978462508,HSS_siRhoC_1_roi0,28.773,60297,-30.06446179784625
1768,21.89939587997397,-7.909090387635086,HSS_siRhoC_1_roi0,28.773,60297,-36.682090387635085
1770,197.4852537088708,28.357033543339636,HSS_siRhoC_1_roi0,28.773,60297,-0.4159664566603567
1777,79.56148550226494,18.768615376538516,HSS_siRhoC_1_roi0,28.773,60297,-10.004384623461476
1779,35.4121467634409,-39.85105590474947,HSS_siRhoC_1_roi0,28.773,60297,-68.62405590474947
1798,39.0554218810706,61.452235905996744,HSS_siRhoC_1_roi0,28.773,60297,32.67923590599675
1801,26.540477480719986,-41.07546521514534,HSS_siRhoC_1_roi0,28.773,60297,-69.84846521514534
1803,33.41109797975382,-73.29616479139452,HSS_siRhoC_1_roi0,28.773,60297,77.93083520860549
1808,80.22426928890148,36.6307393285963,HSS_siRhoC_1_roi0,28.773,60297,7.857739328596296
1812,26.029999627446102,11.090956059711038,HSS_siRhoC_1_roi0,28.773,60297,-17.682043940288963
1819,88.82929362087106,42.12799113602996,HSS_siRhoC_1_roi0,28.773,60297,13.354991136029966
1821,27.231483412827263,10.00495832972917,HSS_siRhoC_1_roi0,28.773,60297,-18.768041670270833
1823,48.21783190426056,11.883274322510124,HSS_siRhoC_1_roi0,28.773,60297,-16.889725677489878
1824,21.5388927752368,6.086858990871121,HSS_siRhoC_1_roi0,28.773,60297,-22.686141009128875
1831,21.7284878954092,50.84505222586351,HSS_siRhoC_1_roi0,28.773,60297,22.072052225863516
1834,61.12857380436019,44.061087841217315,HSS_siRhoC_1_roi0,28.773,60297,15.28808784121732
1838,22.565971508728495,-57.86681545906696,HSS_siRhoC_1_roi0,28.773,60297,-86.63981545906697
1843,39.49692443095758,27.89638315629912,HSS_siRhoC_1_roi0,28.773,60297,-0.876616843700873
1844,20.813964066326808,25.43483662178199,HSS_siRhoC_1_roi0,28.773,60297,-3.338163378218013
1845,229.6261341072636,21.39942226094093,HSS_siRhoC_1_roi0,28.773,60297,-7.373577739059073
1848,40.85047601960931,36.39207617662144,HSS_siRhoC_1_roi0,28.773,60297,7.619076176621434
1851,23.50486805224843,12.119697585792006,HSS_siRhoC_1_roi0,28.773,60297,-16.653302414207985
1852,216.26569293354677,19.17262549086689,HSS_siRhoC_1_roi0,28.773,60297,-9.600374509133104
1853,28.497296980791383,23.305997024132623,HSS_siRhoC_1_roi0,28.773,60297,-5.4670029758673735
1855,31.490114509618788,63.43507132855533,HSS_siRhoC_1_roi0,28.773,60297,34.66207132855533
