snakeID,length,theta,cell_name,cell_axis_angle,Cell_Area,theta_to_cell_axis
8240,84.36440206207341,61.46752706340218,HSS_siDSP_1_roi0,29.35,277800,32.11752706340218
8242,27.447814310997604,-80.35642999073438,HSS_siDSP_1_roi0,29.35,277800,70.29357000926561
8243,29.04842044288521,30.550474357623926,HSS_siDSP_1_roi0,29.35,277800,1.200474357623932
8256,32.42617527880983,37.34655039578939,HSS_siDSP_1_roi0,29.35,277800,7.996550395789399
8269,26.241535711844534,51.81335580470166,HSS_siDSP_1_roi0,29.35,277800,22.46335580470165
8274,49.48264298507262,-5.447114856298055,HSS_siDSP_1_roi0,29.35,277800,-34.79711485629806
8278,26.01633089463018,-31.52738619149391,HSS_siDSP_1_roi0,29.35,277800,-60.87738619149391
8282,37.64459791309952,28.887319270661436,HSS_siDSP_1_roi0,29.35,277800,-0.4626807293385582
8289,53.940543699878944,41.99503082030121,HSS_siDSP_1_roi0,29.35,277800,12.6450308203012
8296,39.75877447882404,18.608014577827305,HSS_siDSP_1_roi0,29.35,277800,-10.74198542217269
8299,432.106624331072,28.280714772813425,HSS_siDSP_1_roi0,29.35,277800,-1.0692852271865831
8304,20.062709311737272,-55.26044545540802,HSS_siDSP_1_roi0,29.35,277800,-84.61044545540801
8308,39.49143620872143,-75.03876432778254,HSS_siDSP_1_roi0,29.35,277800,75.61123567221745
8311,48.43594745606811,52.56688061177604,HSS_siDSP_1_roi0,29.35,277800,23.21688061177605
8320,42.00392753270125,37.765609041881646,HSS_siDSP_1_roi0,29.35,277800,8.415609041881652
8322,22.461440853637235,-55.2438566893669,HSS_siDSP_1_roi0,29.35,277800,-84.5938566893669
8327,38.49525251514808,10.425547680186364,HSS_siDSP_1_roi0,29.35,277800,-18.92445231981364
8330,101.35219669431656,11.866321751088142,HSS_siDSP_1_roi0,29.35,277800,-17.483678248911858
8333,37.448883386884766,71.32776464542533,HSS_siDSP_1_roi0,29.35,277800,41.97776464542534
8334,27.54496163646662,-83.63345459033864,HSS_siDSP_1_roi0,29.35,277800,67.01654540966135
8336,36.5826240983375,-80.50527639539328,HSS_siDSP_1_roi0,29.35,277800,70.14472360460672
8350,30.772776471234913,67.58826179023032,HSS_siDSP_1_roi0,29.35,277800,38.238261790230325
8352,27.488589206546823,11.401352069597936,HSS_siDSP_1_roi0,29.35,277800,-17.948647930402075
8355,36.46838236228089,-5.575429312137659,HSS_siDSP_1_roi0,29.35,277800,-34.92542931213766
8357,23.698539438032956,79.14955436093251,HSS_siDSP_1_roi0,29.35,277800,49.79955436093252
8362,23.598719277322445,-24.460701327100917,HSS_siDSP_1_roi0,29.35,277800,-53.810701327100915
8370,26.94503480192876,4.3272979852212,HSS_siDSP_1_roi0,29.35,277800,-25.0227020147788
8372,21.56452105006296,35.399449442253676,HSS_siDSP_1_roi0,29.35,277800,6.049449442253675
8374,22.652903470623393,1.5983775475295283,HSS_siDSP_1_roi0,29.35,277800,-27.75162245247047
8378,38.49405005315428,57.82141820947628,HSS_siDSP_1_roi0,29.35,277800,28.47141820947627
8392,56.48924542442176,49.998758373743,HSS_siDSP_1_roi0,29.35,277800,20.648758373742993
8397,22.07343670789485,-21.56492811815167,HSS_siDSP_1_roi0,29.35,277800,-50.91492811815167
8404,21.94648835959435,-21.462580216912993,HSS_siDSP_1_roi0,29.35,277800,-50.81258021691299
