snakeID,length,theta,cell_name,cell_axis_angle,Cell_Area,theta_to_cell_axis
2061,246.41588176598500,-9.376278789794460,HSS_siJCAD_1_roi0,3.671,74938,-13.04727878979450
2088,123.48825864184100,27.5779841520875,HSS_siJCAD_1_roi0,3.671,74938,23.906984152087500
2146,118.76394652838200,-21.1411705398672,HSS_siJCAD_1_roi0,3.671,74938,-24.812170539867200
2183,203.46007878273900,3.1478670588884800,HSS_siJCAD_1_roi0,3.671,74938,-0.5231329411115270
2249,119.05421016360100,-34.62788220543810,HSS_siJCAD_1_roi0,3.671,74938,-38.29888220543810
2251,125.07704794606900,11.077610468920800,HSS_siJCAD_1_roi0,3.671,74938,7.406610468920790
2252,196.49277194132600,0.4088779063168110,HSS_siJCAD_1_roi0,3.671,74938,-3.262122093683190
2253,237.89271525400900,-1.1696606252550200,HSS_siJCAD_1_roi0,3.671,74938,-4.840660625255030
2254,193.05576743277900,4.588577107069350,HSS_siJCAD_1_roi0,3.671,74938,0.9175771070693490
6578,147.65502273243200,18.668369021381800,HSS_siJCAD_1_roi10,43.822,232089,-25.15363097861820
6644,535.7272776232220,39.29834314629580,HSS_siJCAD_1_roi10,43.822,232089,-4.5236568537042200
6653,138.6104335942580,12.865908565994800,HSS_siJCAD_1_roi10,43.822,232089,-30.95609143400520
6707,267.012417756188,18.884258420818400,HSS_siJCAD_1_roi10,43.822,232089,-24.93774157918160
6759,182.8547218384320,29.577095614167900,HSS_siJCAD_1_roi10,43.822,232089,-14.244904385832100
6809,142.59330968408600,24.30947778485770,HSS_siJCAD_1_roi10,43.822,232089,-19.51252221514230
6912,258.2105856152700,28.752563554825200,HSS_siJCAD_1_roi10,43.822,232089,-15.069436445174800
6944,141.48095573759800,24.19515353246610,HSS_siJCAD_1_roi10,43.822,232089,-19.626846467533900
6991,380.6694057214300,39.36166281166190,HSS_siJCAD_1_roi10,43.822,232089,-4.460337188338070
7037,228.48679665406300,33.821617702602300,HSS_siJCAD_1_roi10,43.822,232089,-10.000382297397700
7114,306.82194804913300,43.826281203854600,HSS_siJCAD_1_roi10,43.822,232089,0.0042812038546031
7136,120.37662049205100,18.912512823727800,HSS_siJCAD_1_roi10,43.822,232089,-24.909487176272200
7149,142.85448841468200,15.043152909562700,HSS_siJCAD_1_roi10,43.822,232089,-28.77884709043730
7151,129.92151509549200,16.141266519235300,HSS_siJCAD_1_roi10,43.822,232089,-27.68073348076470
7156,124.3002763230010,33.79759837919190,HSS_siJCAD_1_roi10,43.822,232089,-10.024401620808100
7160,292.3330155126960,64.00491291752380,HSS_siJCAD_1_roi10,43.822,232089,20.182912917523800
7161,193.9198833820260,45.605519198579500,HSS_siJCAD_1_roi10,43.822,232089,1.783519198579510
7167,238.06225189426000,-53.06471087837150,HSS_siJCAD_1_roi10,43.822,232089,83.11328912162850
7174,118.80826891435000,24.82125183708020,HSS_siJCAD_1_roi10,43.822,232089,-19.000748162919800
7175,176.43918229379400,40.5183483637992,HSS_siJCAD_1_roi10,43.822,232089,-3.3036516362008100
7178,176.49928553337200,46.73872413532190,HSS_siJCAD_1_roi10,43.822,232089,2.916724135321910
7184,134.93287401915700,49.87117450285260,HSS_siJCAD_1_roi10,43.822,232089,6.049174502852590
