snakeID,length,theta,cell_name,cell_axis_angle,Cell_Area,theta_to_cell_axis
1770,197.4852537088710,28.357033543339600,HSS_siRhoC_1_roi0,28.773,60297,-0.4159664566603570
1845,229.6261341072640,21.39942226094090,HSS_siRhoC_1_roi0,28.773,60297,-7.373577739059070
1852,216.26569293354700,19.17262549086690,HSS_siRhoC_1_roi0,28.773,60297,-9.600374509133100
1867,165.46454969463800,37.80397005261460,HSS_siRhoC_1_roi0,28.773,60297,9.03097005261462
1875,164.0428496436010,32.07870983965300,HSS_siRhoC_1_roi0,28.773,60297,3.305709839653010
1880,113.78333132853900,41.564492815525800,HSS_siRhoC_1_roi0,28.773,60297,12.791492815525800
1887,137.42470948572000,35.20270278158170,HSS_siRhoC_1_roi0,28.773,60297,6.429702781581680
1888,278.5149028006630,39.15044765620380,HSS_siRhoC_1_roi0,28.773,60297,10.377447656203800
1889,181.41229495420300,14.059951577052900,HSS_siRhoC_1_roi0,28.773,60297,-14.713048422947100
1890,160.84764306015800,25.194096915625100,HSS_siRhoC_1_roi0,28.773,60297,-3.5789030843748600
1891,172.31590810625400,20.910427941845600,HSS_siRhoC_1_roi0,28.773,60297,-7.862572058154430
6463,259.21850235650900,36.28091983195380,HSS_siRhoC_1_roi10,29.377,269291,6.903919831953810
6589,229.2569517018980,46.50361863328180,HSS_siRhoC_1_roi10,29.377,269291,17.12661863328180
6623,147.93733828745300,53.163222544752900,HSS_siRhoC_1_roi10,29.377,269291,23.78622254475290
6669,161.9313862583200,42.99744519981970,HSS_siRhoC_1_roi10,29.377,269291,13.62044519981970
6765,120.1801959565680,38.48232596432000,HSS_siRhoC_1_roi10,29.377,269291,9.105325964320050
6780,113.4760350278520,25.927749949354500,HSS_siRhoC_1_roi10,29.377,269291,-3.4492500506455300
6822,109.84422267802600,13.316528753110800,HSS_siRhoC_1_roi10,29.377,269291,-16.06047124688930
6842,221.8746128148670,20.261018963886000,HSS_siRhoC_1_roi10,29.377,269291,-9.11598103611405
6860,216.81632786482500,33.160744623633800,HSS_siRhoC_1_roi10,29.377,269291,3.783744623633850
6877,417.4220395708480,38.22366294817890,HSS_siRhoC_1_roi10,29.377,269291,8.846662948178890
6880,135.96131572928100,-1.9755972939589300,HSS_siRhoC_1_roi10,29.377,269291,-31.352597293958900
6887,118.46706296099800,27.632652458133500,HSS_siRhoC_1_roi10,29.377,269291,-1.7443475418665500
6892,110.18630191564200,53.26251442529520,HSS_siRhoC_1_roi10,29.377,269291,23.885514425295200
6905,322.435925688733,39.404135934323400,HSS_siRhoC_1_roi10,29.377,269291,10.02713593432340
6929,203.40179050433500,43.67227344360780,HSS_siRhoC_1_roi10,29.377,269291,14.295273443607800
6948,125.5584554134910,33.943272842947600,HSS_siRhoC_1_roi10,29.377,269291,4.56627284294764
6971,183.2173944249180,30.851114876213500,HSS_siRhoC_1_roi10,29.377,269291,1.474114876213480
6999,202.4951932990800,43.47177636002050,HSS_siRhoC_1_roi10,29.377,269291,14.094776360020500
7002,170.69651393242000,42.50146604072160,HSS_siRhoC_1_roi10,29.377,269291,13.124466040721600
7010,141.24866456352800,43.290811673049800,HSS_siRhoC_1_roi10,29.377,269291,13.91381167304980
7019,207.4973443825890,47.20166038141930,HSS_siRhoC_1_roi10,29.377,269291,17.824660381419300
7028,140.39894105425000,55.65145922897590,HSS_siRhoC_1_roi10,29.377,269291,26.27445922897590
7030,241.38255009347400,48.112026023717200,HSS_siRhoC_1_roi10,29.377,269291,18.735026023717200
