,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.8,0.006194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016671,0.040029,0.067149,0.025343,0.018056,0.023589,0.010005,0.017851,0.015949,0.044348,0.346905,0.165738,0.048487,0.107928,0.045759
1.9,0.005594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016528,0.038384,0.068057,0.026481,0.017161,0.024077,0.008594,0.015325,0.016197,0.048255,0.349924,0.164138,0.047972,0.108444,0.04487
2.0,0.005032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015383,0.038148,0.07057,0.02712,0.016267,0.023143,0.008444,0.013262,0.01743,0.047553,0.354357,0.165691,0.046186,0.107235,0.04418
2.1,0.005004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014367,0.037184,0.069695,0.027642,0.016082,0.021663,0.00832,0.013394,0.017941,0.045074,0.360858,0.170022,0.044295,0.103484,0.044975
2.2,0.005379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014326,0.035511,0.069477,0.027803,0.015995,0.020325,0.007549,0.013662,0.019264,0.043327,0.365177,0.171574,0.042895,0.102551,0.045186
2.3,0.005136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014423,0.034361,0.067968,0.028581,0.015034,0.020664,0.007416,0.014061,0.01817,0.04436,0.368482,0.172844,0.041892,0.099916,0.046692
2.4,0.004845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014212,0.034888,0.067316,0.028219,0.014373,0.01991,0.007754,0.014369,0.017708,0.043991,0.375004,0.173307,0.040342,0.099761,0.044003
2.5,0.004868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013852,0.034989,0.066837,0.02796,0.013613,0.019952,0.007638,0.01489,0.018197,0.045419,0.380087,0.172363,0.03846,0.098046,0.04283
2.6,0.004917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013071,0.034167,0.069171,0.02581,0.013803,0.019664,0.007428,0.015061,0.018163,0.043945,0.385082,0.17559,0.036387,0.095112,0.042627
2.7,0.00473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012927,0.033443,0.068914,0.025182,0.014069,0.019301,0.007418,0.01465,0.017953,0.044606,0.389241,0.175223,0.03657,0.093838,0.041935
2.8,0.004726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012235,0.032398,0.06778,0.02486,0.014004,0.019122,0.006766,0.013438,0.018145,0.04638,0.393746,0.175276,0.036363,0.093605,0.041157
2.9,0.00497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012371,0.03178,0.067203,0.02431,0.013476,0.018248,0.006895,0.01246,0.017097,0.046187,0.395861,0.177277,0.035798,0.095501,0.040566
3.0,0.005253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013877,0.031587,0.067379,0.024166,0.012468,0.018187,0.006704,0.012104,0.016383,0.046329,0.3966,0.178189,0.034722,0.095188,0.040863
3.1,0.005467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014706,0.031397,0.066435,0.024899,0.012094,0.018262,0.006421,0.012347,0.016557,0.045158,0.397766,0.180553,0.034523,0.09234,0.041076
3.2,0.00518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014948,0.030974,0.065385,0.024743,0.011113,0.017904,0.006207,0.012022,0.017368,0.047836,0.400842,0.179465,0.032822,0.092043,0.041149
3.3,0.004888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014091,0.030496,0.065835,0.024196,0.009684,0.018134,0.005812,0.012137,0.01652,0.050044,0.403656,0.179842,0.033308,0.093515,0.037844
3.4,0.005092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014254,0.031456,0.066479,0.024103,0.010015,0.017709,0.005394,0.011783,0.016366,0.047953,0.405559,0.180534,0.032509,0.092614,0.03818
3.5,0.005455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013986,0.030074,0.067936,0.023703,0.009289,0.017941,0.004974,0.011833,0.015915,0.04611,0.406966,0.184893,0.031618,0.091939,0.037369
3.6,0.00527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013471,0.02877,0.066804,0.024317,0.009146,0.017424,0.005431,0.011915,0.017461,0.04776,0.406209,0.187396,0.030108,0.092238,0.036278
3.7,0.004613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012922,0.028671,0.067166,0.024942,0.008914,0.017206,0.005505,0.012471,0.018248,0.048141,0.40634,0.18925,0.029154,0.091464,0.034993
3.8,0.004062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012682,0.029254,0.069015,0.025045,0.009359,0.016773,0.006037,0.01193,0.018362,0.048293,0.411195,0.186225,0.027661,0.089246,0.03486
3.9,0.003576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012085,0.029566,0.068312,0.025271,0.010181,0.017121,0.005919,0.011336,0.019813,0.046193,0.41441,0.186689,0.027556,0.088322,0.03365
