,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.6,0.0001,0.000615,0.001569,0.044912,0.011233,0.050765,0.005839,0.002673,0.004931,0.002965,0.004947,0.108021,0.105614,0.437777,0.020503,0.021142,0.033781,0.00068,0.006374,0.005864,0.005694,0.000861,0.0005,0.000405,0.0003,0.001771,0.013656,0.045692,0.04762,0.004312,0.004684,0.004198
1.7,0.000112,0.000594,0.0017,0.04513,0.011539,0.049112,0.005842,0.003316,0.005529,0.002566,0.003915,0.106156,0.106218,0.436209,0.020662,0.024127,0.033624,0.000719,0.006701,0.006249,0.006208,0.0008,0.000514,0.000471,0.000529,0.001504,0.012846,0.046284,0.047433,0.004788,0.004696,0.003908
1.8,0.000103,0.00076,0.001745,0.047457,0.010649,0.048902,0.00563,0.003778,0.005618,0.002529,0.003941,0.106806,0.106574,0.429997,0.021305,0.024119,0.035158,0.000939,0.007566,0.006527,0.006422,0.000619,0.000686,0.000666,0.000741,0.001626,0.011642,0.04632,0.047699,0.00491,0.004808,0.003759
1.9,0.0001,0.000963,0.001739,0.04826,0.009774,0.04921,0.005978,0.003755,0.005453,0.002442,0.00442,0.108585,0.105205,0.424039,0.023564,0.023883,0.0357,0.000807,0.008247,0.007445,0.00681,0.00049,0.00104,0.000624,0.000734,0.00159,0.011574,0.046009,0.047521,0.00428,0.005219,0.004536
2.0,1.6e-05,0.000878,0.001339,0.048667,0.01005,0.049263,0.006612,0.004151,0.005602,0.002591,0.004694,0.107375,0.107384,0.417416,0.025811,0.022073,0.034784,0.000798,0.009375,0.007929,0.006733,0.00049,0.001018,0.000655,0.000697,0.002041,0.011367,0.046936,0.048072,0.003807,0.005794,0.005582
2.1,0.0,0.00086,0.001381,0.04944,0.009411,0.049351,0.007298,0.004512,0.005172,0.002988,0.003845,0.113367,0.103716,0.411373,0.027069,0.021376,0.034722,0.000923,0.009419,0.007968,0.006752,0.00054,0.001139,0.000834,0.000532,0.001933,0.01145,0.048379,0.048421,0.003626,0.007101,0.005104
2.2,0.0,0.00058,0.00213,0.04901,0.010202,0.050802,0.007826,0.004464,0.004599,0.002907,0.004003,0.112493,0.103839,0.409,0.026202,0.021043,0.036594,0.000883,0.009059,0.007648,0.006625,0.000724,0.001039,0.001001,0.000712,0.002001,0.010928,0.047904,0.049708,0.003749,0.007972,0.004351
2.3,3.5e-05,0.000615,0.002399,0.049032,0.012432,0.04932,0.008147,0.004456,0.004933,0.002834,0.004493,0.10868,0.103329,0.408197,0.026503,0.02128,0.038159,0.000826,0.00856,0.007937,0.005586,0.000736,0.000926,0.001054,0.000539,0.001908,0.011925,0.048685,0.050604,0.003791,0.008065,0.004014
2.4,0.000127,0.000781,0.002078,0.049174,0.012503,0.050412,0.00864,0.00431,0.005089,0.002928,0.00357,0.110029,0.102914,0.404468,0.026012,0.022616,0.036778,0.001242,0.008469,0.008201,0.005113,0.001005,0.001028,0.000944,0.000718,0.002023,0.011355,0.047403,0.0534,0.003717,0.008211,0.004745
2.5,0.000186,0.000755,0.002092,0.049248,0.012487,0.051087,0.008504,0.003832,0.0053,0.003476,0.002725,0.112086,0.099315,0.402516,0.025472,0.02313,0.037142,0.001572,0.008238,0.008051,0.005641,0.001295,0.001265,0.000818,0.000677,0.002525,0.012953,0.047839,0.052749,0.003948,0.00814,0.004938
2.6,0.000199,0.000678,0.002189,0.050162,0.012712,0.050323,0.008183,0.003723,0.004919,0.003557,0.002854,0.107289,0.100116,0.404226,0.025929,0.023662,0.038413,0.001835,0.008112,0.007833,0.005506,0.00137,0.001138,0.000668,0.000817,0.002428,0.013098,0.046884,0.053723,0.004725,0.008237,0.004494
2.7,0.0001,0.000572,0.002227,0.049789,0.014313,0.048367,0.00819,0.004154,0.005009,0.003316,0.003341,0.106001,0.098843,0.406607,0.026025,0.024352,0.037937,0.001857,0.008356,0.008518,0.00561,0.001183,0.001647,0.000984,0.000808,0.00225,0.012304,0.046647,0.053755,0.004403,0.008323,0.004213
2.8,0.000184,0.000765,0.002232,0.049652,0.014047,0.051374,0.008643,0.004414,0.004914,0.003219,0.004215,0.101671,0.098153,0.40489,0.027195,0.025534,0.036529,0.002111,0.007693,0.008614,0.006167,0.001114,0.001778,0.000942,0.000868,0.002351,0.012153,0.046472,0.05538,0.004248,0.007974,0.004503
2.9,0.000254,0.000771,0.002008,0.050569,0.013131,0.051489,0.009199,0.005052,0.005045,0.003835,0.003979,0.098261,0.099685,0.401176,0.026043,0.025265,0.037094,0.001986,0.007354,0.009309,0.006314,0.001254,0.001501,0.001016,0.000867,0.00223,0.012641,0.04782,0.057324,0.004539,0.007475,0.00551
3.0,0.000182,0.000278,0.00166,0.051866,0.014715,0.050788,0.008814,0.005064,0.005211,0.00444,0.004372,0.100825,0.095571,0.3973,0.02599,0.025518,0.038004,0.001966,0.007794,0.009119,0.004939,0.00116,0.001042,0.001164,0.001173,0.002006,0.013513,0.049918,0.057849,0.004573,0.006691,0.006497
3.1,0.0003,0.000277,0.001649,0.052712,0.013528,0.049619,0.008785,0.004786,0.005529,0.004377,0.003738,0.098376,0.098244,0.397099,0.027059,0.026189,0.038297,0.001887,0.007788,0.008084,0.005738,0.000943,0.000952,0.000931,0.000954,0.002508,0.013988,0.050163,0.056693,0.00471,0.008075,0.006024
3.2,0.000373,0.000642,0.001778,0.053451,0.011938,0.051456,0.008928,0.004502,0.005484,0.004141,0.003557,0.09543,0.09773,0.398447,0.026818,0.026841,0.040193,0.001785,0.008399,0.007899,0.005728,0.001022,0.001044,0.001073,0.000921,0.002054,0.013137,0.050573,0.055614,0.004267,0.008259,0.006516
3.3,0.000403,0.001078,0.002141,0.052118,0.011242,0.053392,0.00875,0.004275,0.005704,0.004084,0.004038,0.093335,0.099458,0.393375,0.02673,0.028074,0.041971,0.001377,0.008994,0.00815,0.006579,0.001495,0.001227,0.000774,0.000752,0.002394,0.012383,0.050191,0.05645,0.004546,0.008381,0.00614
3.4,0.000483,0.001162,0.00237,0.052288,0.012108,0.051175,0.009315,0.003982,0.005237,0.004198,0.003809,0.093127,0.098509,0.391452,0.027585,0.028799,0.040671,0.001442,0.00911,0.008624,0.007256,0.001734,0.001336,0.000778,0.000638,0.002367,0.013093,0.050857,0.056393,0.005003,0.009116,0.005981
3.5,0.000533,0.001009,0.002492,0.05294,0.012113,0.049549,0.009345,0.004496,0.005091,0.003853,0.003778,0.093109,0.096826,0.390738,0.028805,0.028972,0.040716,0.00159,0.008537,0.008913,0.007663,0.001523,0.001132,0.001073,0.000707,0.002666,0.012979,0.051063,0.056857,0.005136,0.009498,0.006299
3.6,0.000475,0.000918,0.00167,0.054351,0.012348,0.051094,0.009509,0.00434,0.005418,0.003742,0.003306,0.096688,0.095177,0.387575,0.02846,0.029717,0.040236,0.00182,0.008236,0.008387,0.006968,0.00157,0.001629,0.001015,0.000761,0.001782,0.012814,0.052869,0.055941,0.005717,0.009419,0.006049
3.7,0.0004,0.000859,0.001942,0.053406,0.01304,0.053194,0.009018,0.0038,0.005986,0.004663,0.003671,0.092215,0.099676,0.383396,0.027856,0.03092,0.039963,0.001847,0.008437,0.008188,0.00622,0.0016,0.001831,0.001132,0.001043,0.002464,0.013052,0.052951,0.056315,0.005983,0.009444,0.005489
3.8,0.000443,0.000977,0.002252,0.055837,0.012353,0.052782,0.008002,0.004584,0.005606,0.004675,0.00323,0.090966,0.096125,0.385944,0.029,0.030827,0.039285,0.001938,0.008896,0.008378,0.006732,0.001969,0.001593,0.001106,0.001121,0.002822,0.012682,0.054348,0.054375,0.005855,0.009669,0.005631
3.9,0.000356,0.001258,0.002619,0.057554,0.012029,0.051177,0.007634,0.005145,0.005865,0.003854,0.003964,0.089591,0.093049,0.39015,0.02885,0.031166,0.038241,0.001911,0.009264,0.008127,0.006944,0.001791,0.00154,0.001083,0.001045,0.003276,0.014141,0.055602,0.050975,0.005922,0.009682,0.006194
