t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.6,0.011922,0.005245,0.001752,0.089139,0.008082,0.025227,0.075649,0.022106,0.0228,0.002379,0.000543,0.023155,0.022903,0.0773,0.044237,0.038079,0.041305,0.013222,0.05148,0.047156,0.013942,0.046412,0.051854,0.014012,0.004203,0.002488,0.008043,0.093192,0.022377,0.020413,0.075766,0.023618
1.7,0.011996,0.005328,0.001858,0.089527,0.008608,0.024206,0.075736,0.02237,0.022367,0.002429,0.000342,0.02236,0.021695,0.079503,0.043477,0.039625,0.04047,0.013374,0.051254,0.047526,0.013645,0.045643,0.052712,0.01385,0.003931,0.002155,0.0069,0.093492,0.023553,0.020169,0.079123,0.020777
1.8,0.012465,0.004899,0.001397,0.090007,0.007374,0.025422,0.075803,0.022177,0.022922,0.002628,0.000375,0.021622,0.02261,0.079293,0.043078,0.038831,0.041464,0.013686,0.050811,0.048426,0.012877,0.045877,0.0527,0.013158,0.003806,0.002464,0.006772,0.094186,0.022677,0.019736,0.0789,0.021558
1.9,0.013081,0.004776,0.001493,0.091712,0.007143,0.023852,0.075757,0.021854,0.023413,0.002791,0.000417,0.022409,0.022602,0.078473,0.042961,0.039073,0.041175,0.012946,0.050977,0.049353,0.012524,0.046226,0.052632,0.01226,0.003793,0.002366,0.006072,0.092957,0.024704,0.019663,0.078869,0.021675
2.0,0.01264,0.005777,0.001409,0.092695,0.007092,0.023004,0.074342,0.022867,0.022815,0.003,0.000269,0.022792,0.021694,0.079146,0.041407,0.039526,0.042067,0.013215,0.050302,0.049408,0.012875,0.046515,0.052135,0.01291,0.004514,0.002042,0.006089,0.093817,0.024152,0.019803,0.078084,0.021599
2.1,0.012279,0.005891,0.001576,0.093167,0.006083,0.023374,0.074621,0.024236,0.021051,0.003124,0.000407,0.024487,0.023082,0.075925,0.041378,0.039424,0.042074,0.012681,0.05157,0.049331,0.012219,0.046379,0.051701,0.013841,0.004455,0.002185,0.006139,0.094555,0.023221,0.019143,0.078176,0.022226
2.2,0.01186,0.005923,0.001897,0.092828,0.006733,0.022742,0.074859,0.02493,0.020087,0.002877,0.00047,0.023736,0.022272,0.077423,0.041962,0.040806,0.040356,0.012918,0.050714,0.048524,0.013645,0.04678,0.051826,0.013734,0.004535,0.001989,0.006198,0.094089,0.023825,0.017945,0.07869,0.02283
2.3,0.012249,0.00638,0.002052,0.089825,0.007542,0.024781,0.075009,0.024392,0.020019,0.002702,0.000318,0.023567,0.022393,0.077622,0.040942,0.041288,0.041067,0.012344,0.051601,0.047776,0.014079,0.047854,0.051545,0.012552,0.004659,0.00185,0.006624,0.093022,0.024604,0.019507,0.077805,0.022028
2.4,0.012297,0.00576,0.00221,0.087952,0.008002,0.026035,0.075044,0.024255,0.020742,0.003063,0.000463,0.023025,0.022599,0.077813,0.039914,0.043305,0.039718,0.012298,0.051269,0.047603,0.014629,0.047482,0.051922,0.012499,0.004839,0.001892,0.007003,0.093978,0.023227,0.019757,0.077745,0.021659
2.5,0.012239,0.005527,0.00234,0.087083,0.009031,0.025747,0.073493,0.024784,0.021996,0.002826,0.000442,0.024801,0.020698,0.077958,0.039832,0.041078,0.042264,0.012525,0.050928,0.047059,0.015287,0.048304,0.052481,0.011175,0.004915,0.001437,0.007042,0.09383,0.023791,0.019112,0.078878,0.021094
