t,DSP,TJP1,JCAD,RhoA,RhoC,delta
7.4,0.9999990000000001,0.0,0.0,0.7892730000000001,0.345865,-0.44340800000000014
7.5,1.0,0.0,0.0,0.792432,0.34469,-0.44774200000000003
7.6,1.0,0.0,0.0,0.790699,0.343864,-0.44683500000000004
7.7,1.0,0.0,0.0,0.7905709999999999,0.339772,-0.4507989999999999
7.8,1.0,0.0,0.0,0.7889079999999999,0.335008,-0.45389999999999997
7.9,1.0,0.0,0.0,0.792411,0.33128599999999997,-0.461125
8.0,0.999999,0.0,0.0,0.7917949999999999,0.335558,-0.4562369999999999
8.1,1.0,0.0,0.0,0.7912720000000001,0.33527300000000004,-0.45599900000000004
8.2,0.999999,0.0,0.0,0.7856949999999999,0.337781,-0.4479139999999999
8.3,0.9999990000000001,0.0,0.0,0.785757,0.330508,-0.455249
8.4,0.999999,0.0,0.0,0.785268,0.330594,-0.45467399999999997
8.5,1.0000010000000001,0.0,0.0,0.787963,0.33421,-0.45375299999999996
8.6,1.0,0.0,0.0,0.787423,0.337402,-0.450021
8.7,1.0,0.0,0.0,0.789309,0.34346699999999997,-0.44584200000000007
8.8,1.0,0.0,0.0,0.784838,0.347981,-0.43685700000000005
8.9,1.0,0.0,0.0,0.782945,0.351318,-0.431627
9.0,1.0,0.0,0.0,0.776984,0.347302,-0.429682
9.1,1.0,0.0,0.0,0.777627,0.346797,-0.43082999999999994
9.2,1.0,0.0,0.0,0.7784930000000001,0.340457,-0.4380360000000001
9.3,1.0,0.0,0.0,0.776834,0.336993,-0.43984100000000004
9.4,1.0,0.0,0.0,0.779841,0.33599999999999997,-0.44384100000000004
9.5,1.0,0.0,0.0,0.782915,0.341425,-0.44149000000000005
9.6,1.0,0.0,0.0,0.790579,0.33787,-0.45270900000000003
9.7,0.9999990000000001,0.0,0.0,0.7914810000000001,0.336343,-0.4551380000000001
9.8,1.0,0.0,0.0,0.792094,0.33759399999999995,-0.4545
9.9,1.000001,0.0,0.0,0.7890469999999999,0.33474400000000004,-0.4543029999999999
10.0,1.0000010000000001,0.0,0.0,0.788015,0.329288,-0.458727
10.1,1.0,0.0,0.0,0.793933,0.328735,-0.465198
10.2,0.999999,0.0,0.0,0.791792,0.324789,-0.46700300000000006
10.3,1.0,0.0,0.0,0.7928649999999999,0.326141,-0.4667239999999999
10.4,1.0,0.0,0.0,0.7904040000000001,0.32639300000000004,-0.46401100000000006
10.5,1.0000010000000001,0.0,0.0,0.788694,0.327841,-0.460853
10.6,1.0000010000000001,0.0,0.0,0.790879,0.32523500000000005,-0.46564399999999995
10.7,0.999999,0.0,0.0,0.792766,0.32432,-0.468446
10.8,0.999999,0.0,0.0,0.7931569999999999,0.327854,-0.4653029999999999
10.9,1.0,0.0,0.0,0.7969539999999999,0.32770900000000003,-0.4692449999999999
11.0,1.0,0.0,0.0,0.794637,0.32739799999999997,-0.46723900000000007
11.1,1.0,0.0,0.0,0.796454,0.32069000000000003,-0.47576399999999996
11.2,1.0,0.0,0.0,0.790492,0.322535,-0.46795699999999996
11.3,1.0,0.0,0.0,0.792092,0.322554,-0.469538
11.4,1.0,0.0,0.0,0.796357,0.32438500000000003,-0.47197199999999995
11.5,1.0,0.0,0.0,0.79691,0.323966,-0.47294400000000003
11.6,1.000001,0.0,0.0,0.7984910000000001,0.32714,-0.4713510000000001
11.7,1.0,0.0,0.0,0.7987059999999999,0.32801,-0.4706959999999999
11.8,1.0,0.0,0.0,0.795755,0.331932,-0.463823
11.9,1.000001,0.0,0.0,0.8001929999999999,0.332473,-0.4677199999999999
12.0,1.000001,0.0,0.0,0.796672,0.332202,-0.46447000000000005
12.1,0.9999999999999999,0.0,0.0,0.794565,0.330073,-0.46449199999999996
12.2,1.0,0.0,0.0,0.7955289999999999,0.328146,-0.46738299999999994
12.3,1.0,0.0,0.0,0.794345,0.328128,-0.466217
12.4,0.9999990000000001,0.0,0.0,0.790368,0.328507,-0.46186099999999997
12.5,0.9999990000000001,0.0,0.0,0.795799,0.326534,-0.46926500000000004
12.6,0.999999,0.0,0.0,0.791438,0.328804,-0.462634
12.7,1.0000010000000001,0.0,0.0,0.792471,0.329781,-0.46269000000000005
12.8,1.0,0.0,0.0,0.796272,0.322767,-0.47350499999999995
12.9,1.0,0.0,0.0,0.79735,0.32317700000000005,-0.47417299999999996
13.0,0.999999,0.0,0.0,0.796173,0.330249,-0.465924
13.1,1.0,0.0,0.0,0.7928229999999999,0.332964,-0.45985899999999996
13.2,1.0000010000000001,0.0,0.0,0.7916080000000001,0.337516,-0.4540920000000001
13.3,0.999999,0.0,0.0,0.791176,0.336347,-0.454829
13.4,1.0,0.0,0.0,0.792384,0.33648999999999996,-0.455894
13.5,1.0,0.0,0.0,0.792995,0.33586,-0.457135
13.6,1.0,0.0,0.0,0.797256,0.329171,-0.468085
13.7,1.0,0.0,0.0,0.7966230000000001,0.331347,-0.4652760000000001
13.8,0.9999990000000001,0.0,0.0,0.7902600000000001,0.33391099999999996,-0.4563490000000001
13.9,1.0,0.0,0.0,0.789082,0.33631,-0.45277199999999995
14.0,1.0,0.0,0.0,0.785713,0.336537,-0.449176
14.1,1.0,0.0,0.0,0.779873,0.33558699999999997,-0.44428600000000007
14.2,1.0,0.0,0.0,0.784413,0.337437,-0.44697600000000004
14.3,0.9999990000000001,0.0,0.0,0.788314,0.33848500000000004,-0.4498289999999999
14.4,1.0,0.0,0.0,0.792685,0.338144,-0.454541
14.5,1.000001,0.0,0.0,0.7936589999999999,0.336484,-0.4571749999999999
14.6,1.0000010000000001,0.0,0.0,0.7906070000000001,0.33362,-0.45698700000000003
14.7,1.0,0.0,0.0,0.78883,0.33533,-0.4535
14.8,0.999999,0.0,0.0,0.792605,0.32883799999999996,-0.46376700000000004
14.9,1.0,0.0,0.0,0.7916540000000001,0.329845,-0.4618090000000001
15.0,1.0,0.0,0.0,0.79128,0.33113800000000004,-0.46014199999999994
15.1,1.000001,0.0,0.0,0.790919,0.325646,-0.46527300000000005
15.2,1.0,0.0,0.0,0.792329,0.33002699999999996,-0.462302
15.3,1.0,0.0,0.0,0.792192,0.33230099999999996,-0.45989100000000005
15.4,1.000001,0.0,0.0,0.787314,0.33246,-0.454854
15.5,0.999999,0.0,0.0,0.786775,0.33392900000000003,-0.45284599999999997
15.6,1.0000010000000001,0.0,0.0,0.790898,0.335109,-0.455789
15.7,1.0,0.0,0.0,0.797183,0.335431,-0.461752
15.8,1.0,0.0,0.0,0.803332,0.32853699999999997,-0.4747950000000001
15.9,1.0,0.0,0.0,0.797799,0.330248,-0.46755100000000005
16.0,1.0,0.0,0.0,0.794079,0.33153200000000005,-0.46254699999999993
16.1,1.0,0.0,0.0,0.795791,0.334835,-0.46095600000000003
16.2,1.0000010000000001,0.0,0.0,0.796914,0.33718,-0.45973400000000003
16.3,1.0,0.0,0.0,0.798947,0.332461,-0.46648599999999996
16.4,1.0,0.0,0.0,0.799894,0.33018000000000003,-0.46971399999999996
16.5,0.999999,0.0,0.0,0.798459,0.329993,-0.46846600000000005
16.6,1.0,0.0,0.0,0.794575,0.330401,-0.46417400000000003
16.7,0.9999999999999999,0.0,0.0,0.7952009999999999,0.334095,-0.46110599999999996
16.8,1.0,0.0,0.0,0.794457,0.336668,-0.45778899999999995
16.9,1.0,0.0,0.0,0.793668,0.333565,-0.46010300000000004
17.0,1.0000010000000001,0.0,0.0,0.792135,0.334637,-0.457498
17.1,0.999999,0.0,0.0,0.790666,0.33871300000000004,-0.45195299999999994
17.2,1.0,0.0,0.0,0.786678,0.337912,-0.448766
17.3,1.0000010000000001,0.0,0.0,0.78977,0.336705,-0.453065
17.4,0.9999990000000001,0.0,0.0,0.794073,0.330042,-0.464031
17.5,0.9999989999999999,0.0,0.0,0.796945,0.332298,-0.46464700000000003
17.6,1.0,0.0,0.0,0.791818,0.330468,-0.46135000000000004
17.7,1.000001,0.0,0.0,0.7942579999999999,0.330342,-0.4639159999999999
17.8,1.0,0.0,0.0,0.7917580000000001,0.333321,-0.4584370000000001
17.9,1.0,0.0,0.0,0.7952250000000001,0.331841,-0.4633840000000001
18.0,1.000001,0.0,0.0,0.785385,0.33130000000000004,-0.45408499999999996
18.1,1.0,0.0,0.0,0.782142,0.33275299999999997,-0.44938900000000004
18.2,1.0,0.0,0.0,0.788821,0.331271,-0.45755
18.3,1.0000010000000001,0.0,0.0,0.7911509999999999,0.33272599999999997,-0.45842499999999997
18.4,1.0,0.0,0.0,0.7890929999999999,0.332788,-0.45630499999999996
18.5,1.0,0.0,0.0,0.7906880000000001,0.32692200000000005,-0.463766
18.6,1.0,0.0,0.0,0.791247,0.329406,-0.46184100000000006
18.7,1.0,0.0,0.0,0.789719,0.332777,-0.45694199999999996
18.8,1.0,0.0,0.0,0.785876,0.337829,-0.44804700000000003
18.9,1.0,0.0,0.0,0.786958,0.340491,-0.44646700000000006
19.0,1.0,0.0,0.0,0.788367,0.333327,-0.45504000000000006
19.1,1.0,0.0,0.0,0.7905989999999999,0.33502,-0.45557899999999996
19.2,1.000001,0.0,0.0,0.791427,0.335379,-0.456048
19.3,1.0,0.0,0.0,0.791701,0.336078,-0.455623
19.4,1.0,0.0,0.0,0.790115,0.33242099999999997,-0.45769400000000005
19.5,0.9999999999999999,0.0,0.0,0.78965,0.33357000000000003,-0.45607999999999993
19.6,1.0,0.0,0.0,0.7957179999999999,0.337681,-0.4580369999999999
19.7,1.0000010000000001,0.0,0.0,0.795829,0.333489,-0.46234000000000003
19.8,1.0,0.0,0.0,0.796323,0.33611,-0.460213
19.9,0.9999999999999999,0.0,0.0,0.7960849999999999,0.335734,-0.46035099999999995
20.0,1.000001,0.0,0.0,0.7931699999999999,0.339068,-0.45410199999999995
20.1,1.0000010000000001,0.0,0.0,0.784935,0.338044,-0.44689100000000004
20.2,1.0,0.0,0.0,0.78452,0.33713499999999996,-0.44738500000000003
20.3,0.999999,0.0,0.0,0.784762,0.338748,-0.44601399999999997
20.4,1.0,0.0,0.0,0.785448,0.342789,-0.442659
20.5,1.0,0.0,0.0,0.786466,0.340491,-0.445975
20.6,0.999999,0.0,0.0,0.786885,0.343289,-0.44359599999999993
20.7,0.9999999999999999,0.0,0.0,0.790669,0.346134,-0.44453499999999996
20.8,0.9999999999999999,0.0,0.0,0.7905019999999999,0.343012,-0.44748999999999994
20.9,1.0000010000000001,0.0,0.0,0.793765,0.33811599999999997,-0.4556490000000001
21.0,1.000001,0.0,0.0,0.794057,0.336361,-0.457696
21.1,0.999999,0.0,0.0,0.793408,0.333369,-0.460039
21.2,0.999999,0.0,0.0,0.790112,0.332522,-0.45759000000000005
21.3,1.0,0.0,0.0,0.79579,0.329515,-0.466275
21.4,1.0,0.0,0.0,0.795016,0.32903899999999997,-0.465977
21.5,0.9999999999999999,0.0,0.0,0.79187,0.326722,-0.46514799999999995
21.6,1.0,0.0,0.0,0.792937,0.324998,-0.467939
21.7,0.999999,0.0,0.0,0.792851,0.322272,-0.47057899999999997
21.8,1.0,0.0,0.0,0.792983,0.32843900000000004,-0.46454399999999996
21.9,1.0,0.0,0.0,0.7934289999999999,0.329106,-0.46432299999999993
22.0,1.0,0.0,0.0,0.78913,0.332812,-0.456318
22.1,1.0,0.0,0.0,0.789172,0.33296499999999996,-0.45620700000000003
22.2,1.0,0.0,0.0,0.792599,0.33640000000000003,-0.456199
22.3,0.9999990000000001,0.0,0.0,0.79226,0.33333,-0.45892999999999995
22.4,0.999999,0.0,0.0,0.79035,0.333151,-0.457199
22.5,1.0,0.0,0.0,0.792864,0.328824,-0.46404
22.6,1.0,0.0,0.0,0.7938860000000001,0.32614,-0.4677460000000001
22.7,1.0,0.0,0.0,0.7928660000000001,0.32618199999999997,-0.4666840000000001
22.8,0.999999,0.0,0.0,0.794921,0.329708,-0.465213
22.9,1.0,0.0,0.0,0.79636,0.32871,-0.46764999999999995
23.0,0.9999990000000001,0.0,0.0,0.7916110000000001,0.330435,-0.4611760000000001
