t,DSP,TJP1,JCAD,RhoA,RhoC,delta
7.0,1.000001,1.000001,0.0,0.673438,0.6427959999999999,-0.030642000000000058
7.1,0.999999,0.999999,0.0,0.6708989999999999,0.6430849999999999,-0.027814000000000005
7.2,1.0,1.0,0.0,0.6676599999999999,0.640423,-0.027236999999999956
7.3,1.0,1.0,0.0,0.661826,0.642676,-0.01915
7.4,1.0,1.0,0.0,0.659707,0.638922,-0.020785000000000053
7.5,1.0,1.0,0.0,0.6605540000000001,0.63977,-0.020784000000000136
7.6,1.0000010000000001,1.0000010000000001,0.0,0.648835,0.643257,-0.005578000000000083
7.7,1.0,1.0,0.0,0.647954,0.653635,0.005680999999999936
7.8,1.0,1.0,0.0,0.6517580000000001,0.656941,0.005182999999999938
7.9,0.999999,0.999999,0.0,0.653942,0.6572199999999999,0.003277999999999892
8.0,1.0,1.0,0.0,0.660443,0.651389,-0.009054000000000006
8.1,0.9999999999999999,0.9999999999999999,0.0,0.664223,0.646925,-0.017298000000000036
8.2,1.0,1.0,0.0,0.664569,0.647016,-0.01755299999999993
8.3,1.0,1.0,0.0,0.662462,0.647521,-0.014940999999999982
8.4,1.0,1.0,0.0,0.6650860000000001,0.646205,-0.018881000000000037
8.5,1.0,1.0,0.0,0.6587700000000001,0.6435690000000001,-0.01520100000000002
8.6,1.0000010000000001,1.0000010000000001,0.0,0.657594,0.6455139999999999,-0.01208000000000009
8.7,0.9999990000000001,0.9999990000000001,0.0,0.650478,0.6520410000000001,0.001563000000000092
8.8,1.0,1.0,0.0,0.652452,0.6564380000000001,0.003986000000000045
8.9,1.0,1.0,0.0,0.650298,0.655667,0.005368999999999957
9.0,1.0,1.0,0.0,0.648814,0.653983,0.005168999999999979
9.1,0.9999999999999999,0.9999999999999999,0.0,0.64874,0.651454,0.002713999999999994
9.2,1.0,1.0,0.0,0.648435,0.657454,0.009019
9.3,1.0,1.0,0.0,0.653621,0.649594,-0.004027000000000003
9.4,1.0,1.0,0.0,0.659403,0.650899,-0.008503999999999956
9.5,1.0,1.0,0.0,0.651072,0.6552020000000001,0.004130000000000078
9.6,0.9999990000000001,0.9999990000000001,0.0,0.649594,0.64837,-0.0012240000000000029
