t,DSP,TJP1,JCAD,RhoA,RhoC,delta
7.7,0.0,1.0000010000000001,1.0000010000000001,0.257714,0.92207,0.664356
7.8,0.0,1.0,1.0,0.256703,0.924264,0.667561
7.9,0.0,1.0,1.0,0.25186600000000003,0.921451,0.669585
8.0,0.0,1.0,1.0,0.24855300000000002,0.927888,0.679335
8.1,0.0,1.000001,1.000001,0.252121,0.931751,0.67963
8.2,0.0,0.9999990000000001,0.9999990000000001,0.251652,0.9285810000000001,0.6769290000000001
8.3,0.0,1.0,1.0,0.24989599999999998,0.927287,0.677391
8.4,0.0,1.0000010000000001,1.0000010000000001,0.252605,0.924492,0.6718869999999999
8.5,0.0,1.0,1.0,0.254187,0.9235380000000001,0.669351
8.6,0.0,1.0,1.0,0.25193,0.928904,0.676974
8.7,0.0,0.9999990000000001,0.9999990000000001,0.24834299999999998,0.93068,0.682337
8.8,0.0,1.0,1.0,0.244748,0.926294,0.681546
8.9,0.0,1.000001,1.000001,0.24520799999999998,0.926163,0.680955
9.0,0.0,1.0,1.0,0.245444,0.9319740000000001,0.6865300000000001
9.1,0.0,0.999999,0.999999,0.25326899999999997,0.932554,0.679285
9.2,0.0,0.999999,0.999999,0.256361,0.927937,0.671576
9.3,0.0,1.0,1.0,0.256843,0.929077,0.672234
9.4,0.0,1.0,1.0,0.251797,0.928213,0.6764159999999999
9.5,0.0,0.999999,0.999999,0.244009,0.926323,0.682314
9.6,0.0,0.999999,0.999999,0.250793,0.923179,0.6723859999999999
9.7,0.0,1.0,1.0,0.251495,0.928773,0.6772779999999999
9.8,0.0,0.9999990000000001,0.9999990000000001,0.25602800000000003,0.925719,0.6696909999999999
9.9,0.0,1.0,1.0,0.257806,0.927444,0.6696380000000001
10.0,0.0,1.0,1.0,0.257554,0.924107,0.666553
10.1,0.0,1.000001,1.000001,0.254132,0.926456,0.6723239999999999
10.2,0.0,1.0,1.0,0.256264,0.925077,0.6688130000000001
10.3,0.0,1.0,1.0,0.254927,0.9244349999999999,0.6695079999999999
10.4,0.0,1.0,1.0,0.253063,0.9249240000000001,0.671861
10.5,0.0,1.0,1.0,0.25109800000000004,0.928025,0.676927
10.6,0.0,1.0000010000000001,1.0000010000000001,0.250755,0.9275100000000001,0.676755
10.7,0.0,1.0,1.0,0.247259,0.921323,0.674064
10.8,0.0,1.0,1.0,0.25251,0.9248890000000001,0.6723790000000001
10.9,0.0,0.9999990000000001,0.9999990000000001,0.255079,0.9293980000000001,0.6743190000000001
11.0,0.0,1.0,1.0,0.254575,0.92704,0.672465
11.1,0.0,1.0,1.0,0.254341,0.927643,0.6733020000000001
