,WT,DSP,TJP1,JCAD,DSP_JCAD,TJP1_JCAD
0.0,-0.0013929999999998666,0.05601299999999998,-0.05573299999999998,0.0019100000000000783,0.023950000000000027,-0.026510000000000034
0.1,-4.899999999996574e-05,0.13106599999999996,-0.12626499999999996,5.000000000032756e-06,0.06991800000000004,-0.0715070000000001
0.2,0.0009140000000000814,0.17747000000000002,-0.1695290000000001,-0.0005549999999999722,0.10975799999999997,-0.10636599999999996
0.3,-0.0005220000000001335,0.20542300000000002,-0.197517,-0.001839000000000035,0.13533799999999996,-0.13154299999999997
0.4,-0.00030500000000011074,0.22524600000000017,-0.21654400000000001,0.001483000000000012,0.1534970000000001,-0.15106200000000003
0.5,0.0004919999999999369,0.23641299999999993,-0.23112999999999995,0.004785000000000039,0.16613,-0.16900500000000002
0.6,0.0008420000000000094,0.247245,-0.24249000000000004,4.300000000001525e-05,0.17758599999999997,-0.179386
0.7,-3.0999999999892225e-05,0.25053800000000004,-0.24955299999999997,-0.005527999999999866,0.184351,-0.19052100000000016
0.8,-0.003114999999999868,0.2574210000000001,-0.2610300000000001,-0.00911800000000007,0.187639,-0.20052000000000003
0.9,-0.008052999999999977,0.257805,-0.2680349999999999,-0.014922999999999909,0.19174500000000005,-0.20603900000000014
1.0,-0.007362999999999897,0.2640640000000002,-0.27405199999999985,-0.012354999999999894,0.19748099999999996,-0.20829399999999998
1.1,-0.008013999999999966,0.26660499999999987,-0.27753200000000006,-0.011303000000000063,0.200548,-0.21552100000000007
1.2,-0.01100000000000001,0.26454900000000003,-0.2768220000000001,-0.01524800000000004,0.20099600000000012,-0.22203300000000004
1.3,-0.006176999999999877,0.2714649999999999,-0.2753379999999999,-0.012791999999999915,0.20264,-0.22501399999999994
1.4,-0.005338999999999983,0.2752490000000001,-0.27796699999999996,-0.012199999999999989,0.2062500000000001,-0.225978
1.5,-0.004014999999999991,0.27566300000000005,-0.27787300000000015,-0.009228000000000125,0.20783799999999997,-0.22285899999999997
1.6,0.0006099999999999994,0.27222799999999986,-0.2774129999999999,-0.001479000000000008,0.21470299999999992,-0.21694999999999998
1.7,0.01008500000000001,0.2816929999999999,-0.27237000000000006,0.010357999999999978,0.22442700000000004,-0.20704500000000003
1.8,0.011497999999999786,0.28866800000000004,-0.27234599999999987,0.0123660000000001,0.227923,-0.2060599999999999
1.9,0.00870599999999988,0.2914269999999999,-0.275726,0.014083000000000068,0.22749999999999998,-0.20381100000000002
2.0,0.010678000000000076,0.293196,-0.27448800000000007,0.012556000000000012,0.22726400000000008,-0.20601899999999995
2.1,0.009703999999999935,0.29752500000000004,-0.28035099999999996,0.01630700000000007,0.23383600000000015,-0.20746200000000004
2.2,0.012848000000000082,0.29739100000000007,-0.279035,0.017449999999999966,0.23439100000000007,-0.20726699999999998
2.3,0.01083400000000001,0.28832300000000005,-0.28208600000000006,0.014165000000000094,0.22990100000000008,-0.21435799999999994
2.4,0.017963000000000062,0.29097199999999995,-0.28138300000000005,0.01485000000000003,0.22653199999999996,-0.21559099999999998
2.5,0.017244000000000037,0.29196500000000003,-0.277245,0.017876000000000003,0.2275330000000001,-0.21616500000000005
2.6,0.01879900000000001,0.2934940000000001,-0.2753000000000001,0.018297000000000008,0.23330900000000004,-0.21631500000000004
2.7,0.00907099999999994,0.29398700000000005,-0.27913599999999994,0.017518000000000034,0.23445899999999997,-0.21219200000000005
2.8,-0.0013939999999998953,0.289112,-0.28555900000000006,0.010134000000000087,0.23407200000000006,-0.21671300000000016
2.9,-0.005391999999999952,0.2882140000000001,-0.28470400000000007,0.01010500000000003,0.23436799999999997,-0.2155499999999999
3.0,-0.0027970000000001605,0.282671,-0.2862959999999999,0.019121999999999972,0.23220600000000002,-0.2137650000000001
3.1,-0.006295999999999968,0.28277700000000006,-0.29505599999999993,0.014422999999999853,0.22663700000000003,-0.225692
3.2,-0.010655000000000081,0.2814850000000001,-0.2971539999999999,0.012531999999999988,0.23050999999999994,-0.230076
3.3,-0.004828999999999861,0.285102,-0.28935099999999997,0.014057000000000097,0.23745500000000008,-0.22664299999999993
3.4,-0.0042400000000000215,0.2853420000000001,-0.28887600000000013,0.011152999999999968,0.2390969999999999,-0.22727300000000006
3.5,-0.0021419999999998662,0.2836029999999998,-0.28520300000000004,0.007901999999999854,0.23449199999999998,-0.23017999999999994
3.6,0.0019020000000000703,0.2881220000000001,-0.27533499999999994,0.004863000000000062,0.23475199999999996,-0.23080200000000006
3.7,0.0045720000000000205,0.28775200000000006,-0.27547900000000003,0.0035280000000000866,0.23379899999999998,-0.23684899999999998
3.8,0.009738000000000135,0.289275,-0.2749520000000001,0.0031079999999999997,0.23163899999999993,-0.2398099999999999
3.9,0.011695000000000122,0.292778,-0.277898,0.0005230000000000512,0.23029499999999992,-0.24566299999999996
