DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,p3_name,p3_value,perturbation,exp_name,type,delta,phenotype
0.0046,0.0035989999999999998,0.288783,0.632683,0.6169169999999999,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,0.0,WT,Joint_Recr_Sweep,3D,0.3439,Hyper
0.003685,0.29168799999999995,0.236628,0.708566,0.611575,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,0.2,WT,Joint_Recr_Sweep,3D,0.471938,Hyper
0.004345,0.4387420000000001,0.214441,0.750602,0.615293,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,0.4,WT,Joint_Recr_Sweep,3D,0.536161,Hyper
0.003865,0.531083,0.20475800000000002,0.771648,0.6113540000000001,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,0.6000000000000001,WT,Joint_Recr_Sweep,3D,0.56689,Hyper
0.0031989999999999996,0.615995,0.197822,0.7915809999999999,0.6101869999999998,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,0.8,WT,Joint_Recr_Sweep,3D,0.5937589999999999,Hyper
0.0048,0.661583,0.18807700000000002,0.8107580000000001,0.613585,$DSP_recruitment,0.0,$TJP1_recruitment,0.8,$JCAD_recruitment,1.0,WT,Joint_Recr_Sweep,3D,0.622681,Hyper
0.004,0.00235,0.26167,0.6451490000000001,0.661463,$DSP_recruitment,0.0,$TJP1_recruitment,1.0,$JCAD_recruitment,0.0,WT,Joint_Recr_Sweep,3D,0.38347900000000007,Hyper
0.0032080000000000003,0.284161,0.229212,0.723935,0.6710879999999999,$DSP_recruitment,0.0,$TJP1_recruitment,1.0,$JCAD_recruitment,0.2,WT,Joint_Recr_Sweep,3D,0.494723,Hyper
0.0036,0.45577,0.210646,0.769846,0.650491,$DSP_recruitment,0.0,$TJP1_recruitment,1.0,$JCAD_recruitment,0.4,WT,Joint_Recr_Sweep,3D,0.5592,Hyper
0.004292,0.547445,0.19506599999999996,0.7877229999999998,0.6656609999999998,$DSP_recruitment,0.0,$TJP1_recruitment,1.0,$JCAD_recruitment,0.6000000000000001,WT,Joint_Recr_Sweep,3D,0.5926569999999999,Hyper
0.0023220000000000003,0.6135660000000001,0.17979399999999998,0.8164760000000001,0.6625800000000001,$DSP_recruitment,0.0,$TJP1_recruitment,1.0,$JCAD_recruitment,0.8,WT,Joint_Recr_Sweep,3D,0.6366820000000001,Hyper
