DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.49420000000000003,0.487399,0.33236600000000005,0.7289920000000001,0.5006010000000001,$RhoA_antagonistic,15.0,N/A,,WT,WT,0.39662600000000003,Hyper
0.49579999999999996,0.49699999999999994,0.6201709999999999,0.5910599999999999,0.5046,$RhoA_decay,0.05,N/A,,WT,WT,-0.029110999999999998,Normal
0.5072000000000001,0.506798,0.600842,0.5956830000000001,0.496399,$RhoA_decay,0.15000000000000002,N/A,,WT,WT,-0.005158999999999914,Normal
0.5046,0.5056,0.5950900000000001,0.599417,0.502,$RhoA_decay,0.25000000000000006,N/A,,WT,WT,0.004326999999999859,Normal
0.4978,0.5020009999999999,0.575605,0.6043249999999999,0.504401,$RhoA_decay,0.3500000000000001,N/A,,WT,WT,0.028719999999999857,Normal
0.4868,0.499201,0.570794,0.5861839999999999,0.497801,$RhoA_decay,0.45000000000000007,N/A,,WT,WT,0.015389999999999904,Normal
0.4814,0.490402,0.553006,0.6074390000000001,0.498202,$RhoA_decay,0.55,N/A,,WT,WT,0.054433000000000065,Normal
0.49739999999999995,0.507798,0.5576840000000001,0.6022580000000001,0.4987999999999999,$RhoA_decay,0.6500000000000001,N/A,,WT,WT,0.044574,Normal
0.5024,0.5077989999999999,0.550735,0.605376,0.511601,$RhoA_decay,0.7500000000000001,N/A,,WT,WT,0.05464100000000005,Normal
0.5014010000000001,0.500801,0.525596,0.5988230000000001,0.4898,$RhoA_decay,0.8500000000000002,N/A,,WT,WT,0.07322700000000015,Normal
0.503799,0.500799,0.5122629999999999,0.6207269999999999,0.509801,$RhoA_decay,0.9500000000000002,N/A,,WT,WT,0.108464,Normal
0.504798,0.499599,0.6037629999999999,0.5643769999999999,0.49319999999999997,$RhoC_amp,5.0,N/A,,WT,WT,-0.03938600000000003,Normal
0.5018009999999999,0.499399,0.603795,0.587576,0.5040000000000001,$RhoC_amp,7.5,N/A,,WT,WT,-0.016218999999999983,Normal
0.505,0.5008,0.600665,0.590867,0.508401,$RhoC_amp,10.0,N/A,,WT,WT,-0.009797999999999973,Normal
