DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.5064,0.5084000000000001,0.401924,0.7033469999999999,0.506,15.0,11.0,WT,Escape_Threshold_RhoA,0.30142299999999994,Hyper
0.5029980000000001,0.501397,0.384099,0.7100910000000001,0.48619900000000005,15.0,12.0,WT,Escape_Threshold_RhoA,0.3259920000000001,Hyper
0.5054010000000001,0.4928,0.38066500000000003,0.7133579999999999,0.49200099999999997,15.0,13.0,WT,Escape_Threshold_RhoA,0.3326929999999999,Hyper
0.49879999999999997,0.5031990000000001,0.370709,0.710078,0.5011979999999999,15.0,14.0,WT,Escape_Threshold_RhoA,0.339369,Hyper
0.501399,0.5006,0.755347,0.526079,0.493001,20.0,1.0,WT,Escape_Threshold_RhoA,-0.22926800000000003,Normal
0.503001,0.499,0.6658350000000001,0.565797,0.5032019999999999,20.0,2.0,WT,Escape_Threshold_RhoA,-0.10003800000000007,Normal
0.49099899999999996,0.483399,0.604329,0.5966140000000001,0.5005980000000001,20.0,3.0,WT,Escape_Threshold_RhoA,-0.007714999999999916,Normal
0.492599,0.49519900000000006,0.5788869999999999,0.6164820000000001,0.502799,20.0,4.0,WT,Escape_Threshold_RhoA,0.037595000000000156,Normal
0.509399,0.4967999999999999,0.5385090000000001,0.634961,0.4986,20.0,5.0,WT,Escape_Threshold_RhoA,0.09645199999999987,Normal
0.501799,0.502799,0.514154,0.636738,0.501,20.0,6.0,WT,Escape_Threshold_RhoA,0.12258400000000003,Normal
0.48699999999999993,0.5,0.472948,0.661487,0.5042009999999999,20.0,7.0,WT,Escape_Threshold_RhoA,0.18853900000000007,Normal
0.501399,0.5018,0.463436,0.6723779999999999,0.498001,20.0,8.0,WT,Escape_Threshold_RhoA,0.2089419999999999,Normal
0.499798,0.502597,0.44520799999999994,0.678687,0.501599,20.0,9.0,WT,Escape_Threshold_RhoA,0.2334790000000001,Normal
0.5029999999999999,0.5068010000000001,0.426609,0.684997,0.49579899999999993,20.0,10.0,WT,Escape_Threshold_RhoA,0.25838799999999995,Hyper
0.49720099999999995,0.5024,0.409869,0.7015830000000001,0.508201,20.0,11.0,WT,Escape_Threshold_RhoA,0.2917140000000001,Hyper
0.5082,0.491398,0.39393100000000003,0.710871,0.5073989999999999,20.0,12.0,WT,Escape_Threshold_RhoA,0.31694,Hyper
0.49200099999999997,0.5024000000000001,0.380453,0.718362,0.5036,20.0,13.0,WT,Escape_Threshold_RhoA,0.33790899999999996,Hyper
0.494599,0.49319900000000005,0.38333,0.7090930000000001,0.498799,20.0,14.0,WT,Escape_Threshold_RhoA,0.3257630000000001,Hyper
0.490599,0.492398,0.7608670000000001,0.519388,0.502197,25.0,1.0,WT,Escape_Threshold_RhoA,-0.2414790000000001,Normal
0.515798,0.48940099999999986,0.6847409999999999,0.5571869999999999,0.5035989999999999,25.0,2.0,WT,Escape_Threshold_RhoA,-0.12755400000000006,Normal
0.507,0.4948,0.6244649999999999,0.588425,0.4978,25.0,3.0,WT,Escape_Threshold_RhoA,-0.03603999999999996,Normal
0.49379700000000004,0.49419900000000005,0.571625,0.611818,0.497398,25.0,4.0,WT,Escape_Threshold_RhoA,0.04019299999999992,Normal
0.506999,0.485801,0.535047,0.627475,0.5008,25.0,5.0,WT,Escape_Threshold_RhoA,0.09242799999999995,Normal
0.495,0.504201,0.510175,0.6532129999999998,0.4905999999999999,25.0,6.0,WT,Escape_Threshold_RhoA,0.14303799999999978,Normal
0.5005980000000001,0.495999,0.496283,0.637248,0.48279799999999995,25.0,7.0,WT,Escape_Threshold_RhoA,0.14096500000000006,Normal
0.496999,0.5,0.464168,0.6764509999999999,0.509798,25.0,8.0,WT,Escape_Threshold_RhoA,0.2122829999999999,Normal
0.496802,0.501002,0.44781300000000007,0.6804869999999998,0.499001,25.0,9.0,WT,Escape_Threshold_RhoA,0.23267399999999977,Normal
0.49180199999999996,0.508401,0.41772099999999995,0.699392,0.500999,25.0,10.0,WT,Escape_Threshold_RhoA,0.28167100000000006,Hyper
0.4951999999999999,0.500401,0.4181499999999999,0.692792,0.5006,25.0,11.0,WT,Escape_Threshold_RhoA,0.27464200000000005,Hyper
0.501999,0.5044,0.400605,0.698804,0.49919899999999995,25.0,12.0,WT,Escape_Threshold_RhoA,0.298199,Hyper
0.4858010000000001,0.494802,0.38789200000000007,0.7076640000000001,0.4862,25.0,13.0,WT,Escape_Threshold_RhoA,0.319772,Hyper
0.495798,0.4962,0.378487,0.7200539999999999,0.511397,25.0,14.0,WT,Escape_Threshold_RhoA,0.34156699999999984,Hyper
0.48119999999999996,0.498599,0.7628920000000001,0.524427,0.501399,30.0,1.0,WT,Escape_Threshold_RhoA,-0.23846500000000015,Normal
0.496199,0.509799,0.678276,0.567102,0.5098,30.0,2.0,WT,Escape_Threshold_RhoA,-0.111174,Normal
0.506999,0.49739999999999995,0.6176440000000001,0.58893,0.49620100000000006,30.0,3.0,WT,Escape_Threshold_RhoA,-0.02871400000000013,Normal
0.5028,0.504,0.574211,0.6214120000000001,0.5006,30.0,4.0,WT,Escape_Threshold_RhoA,0.04720100000000005,Normal
0.4984,0.5071979999999999,0.532462,0.641543,0.498799,30.0,5.0,WT,Escape_Threshold_RhoA,0.10908099999999998,Normal
0.496799,0.500601,0.5173260000000001,0.644996,0.49600199999999994,30.0,6.0,WT,Escape_Threshold_RhoA,0.12766999999999995,Normal
0.4919990000000001,0.4963989999999999,0.473513,0.666293,0.506598,30.0,7.0,WT,Escape_Threshold_RhoA,0.19278,Normal
0.5076,0.5062,0.4800960000000001,0.6643579999999999,0.49079900000000004,30.0,8.0,WT,Escape_Threshold_RhoA,0.18426199999999981,Normal
0.49920000000000003,0.4934,0.44695,0.685413,0.507,30.0,9.0,WT,Escape_Threshold_RhoA,0.23846300000000004,Normal
0.49319899999999994,0.493799,0.432932,0.6828240000000001,0.48939900000000003,30.0,10.0,WT,Escape_Threshold_RhoA,0.24989200000000011,Normal
0.500999,0.513999,0.424698,0.697041,0.4997999999999999,30.0,11.0,WT,Escape_Threshold_RhoA,0.272343,Hyper
0.49860099999999996,0.5002,0.40963900000000003,0.7004750000000001,0.503799,30.0,12.0,WT,Escape_Threshold_RhoA,0.29083600000000004,Hyper
0.496999,0.502597,0.39318,0.706742,0.497398,30.0,13.0,WT,Escape_Threshold_RhoA,0.313562,Hyper
0.500002,0.498201,0.39968800000000004,0.699017,0.49920099999999995,30.0,14.0,WT,Escape_Threshold_RhoA,0.29932899999999996,Hyper
0.48400000000000004,0.500001,0.7578170000000002,0.520319,0.49399899999999997,35.0,1.0,WT,Escape_Threshold_RhoA,-0.2374980000000002,Normal
0.49859900000000007,0.48979900000000004,0.6737000000000001,0.559608,0.5041990000000001,35.0,2.0,WT,Escape_Threshold_RhoA,-0.11409200000000008,Normal
0.513802,0.496002,0.626187,0.5891059999999999,0.5144010000000001,35.0,3.0,WT,Escape_Threshold_RhoA,-0.03708100000000014,Normal
0.506599,0.504398,0.5630310000000001,0.614611,0.48799899999999996,35.0,4.0,WT,Escape_Threshold_RhoA,0.05157999999999996,Normal
0.49999999999999994,0.501799,0.535859,0.6401030000000001,0.5008,35.0,5.0,WT,Escape_Threshold_RhoA,0.10424400000000011,Normal
0.5074,0.49559899999999996,0.523772,0.639392,0.5092,35.0,6.0,WT,Escape_Threshold_RhoA,0.11561999999999995,Normal
0.48500000000000004,0.492801,0.4841,0.653645,0.4996009999999999,35.0,7.0,WT,Escape_Threshold_RhoA,0.16954500000000006,Normal
