DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.49080199999999996,0.502402,0.7231229999999998,0.34425599999999995,0.488203,3.0,14.0,WT,Competition_Landscape,-0.3788669999999999,Failed
0.49839900000000004,0.502001,0.469935,0.769131,0.499599,4.0,1.0,WT,Competition_Landscape,0.299196,Hyper
0.506801,0.49660000000000004,0.5185780000000001,0.6835599999999998,0.4930010000000001,4.0,2.0,WT,Competition_Landscape,0.16498199999999974,Normal
0.5032020000000001,0.5052020000000002,0.543747,0.6142559999999999,0.5044010000000001,4.0,3.0,WT,Competition_Landscape,0.07050899999999993,Normal
0.49479900000000004,0.492999,0.566686,0.5828530000000001,0.5092,4.0,4.0,WT,Competition_Landscape,0.016167000000000042,Normal
0.506198,0.5093979999999999,0.600214,0.53362,0.5037980000000001,4.0,5.0,WT,Competition_Landscape,-0.06659400000000004,Normal
0.5084,0.487001,0.6075259999999999,0.513624,0.4990009999999999,4.0,6.0,WT,Competition_Landscape,-0.09390199999999993,Normal
0.48380200000000007,0.49140100000000003,0.62305,0.485619,0.4978020000000001,4.0,7.0,WT,Competition_Landscape,-0.13743099999999997,Normal
0.48939900000000003,0.4877989999999999,0.633786,0.46732799999999997,0.4978,4.0,8.0,WT,Competition_Landscape,-0.166458,Normal
0.5008,0.5106010000000001,0.649935,0.445062,0.4918,4.0,9.0,WT,Competition_Landscape,-0.20487300000000003,Normal
0.510598,0.49479799999999996,0.664316,0.42795799999999995,0.5015999999999999,4.0,10.0,WT,Competition_Landscape,-0.23635800000000007,Normal
0.511399,0.49,0.6696200000000001,0.408098,0.510399,4.0,11.0,WT,Competition_Landscape,-0.2615220000000001,Failed
0.493201,0.5118010000000001,0.679474,0.39538100000000004,0.4932010000000001,4.0,12.0,WT,Competition_Landscape,-0.284093,Failed
0.49620099999999995,0.507802,0.6859,0.37795000000000006,0.510202,4.0,13.0,WT,Competition_Landscape,-0.3079499999999999,Failed
0.502401,0.49480100000000005,0.68498,0.36775100000000005,0.4972000000000001,4.0,14.0,WT,Competition_Landscape,-0.317229,Failed
0.497603,0.4977999999999999,0.440162,0.771375,0.5134000000000001,5.0,1.0,WT,Competition_Landscape,0.33121300000000004,Hyper
0.5085999999999999,0.500799,0.48062400000000005,0.698203,0.494,5.0,2.0,WT,Competition_Landscape,0.21757899999999997,Normal
0.501602,0.49660200000000004,0.5116339999999999,0.64961,0.506,5.0,3.0,WT,Competition_Landscape,0.1379760000000001,Normal
0.5051979999999999,0.490798,0.546212,0.585596,0.503797,5.0,4.0,WT,Competition_Landscape,0.039383999999999975,Normal
0.5043989999999999,0.492997,0.5682750000000001,0.549956,0.495398,5.0,5.0,WT,Competition_Landscape,-0.018319000000000085,Normal
0.4936020000000001,0.501001,0.585483,0.524841,0.49700000000000005,5.0,6.0,WT,Competition_Landscape,-0.060641999999999974,Normal
0.504602,0.507201,0.5877859999999999,0.517841,0.503,5.0,7.0,WT,Competition_Landscape,-0.06994499999999992,Normal
0.5045999999999999,0.49119999999999997,0.61059,0.479577,0.504799,5.0,8.0,WT,Competition_Landscape,-0.131013,Normal
0.49859699999999996,0.5059980000000001,0.616866,0.46164499999999997,0.500798,5.0,9.0,WT,Competition_Landscape,-0.15522100000000005,Normal
0.49879799999999996,0.511197,0.634323,0.45511999999999997,0.49360000000000004,5.0,10.0,WT,Competition_Landscape,-0.179203,Normal
0.5033979999999999,0.51,0.638906,0.42652100000000004,0.5024,5.0,11.0,WT,Competition_Landscape,-0.21238499999999993,Normal
0.49859999999999993,0.5000009999999999,0.650993,0.4154089999999999,0.504401,5.0,12.0,WT,Competition_Landscape,-0.23558400000000013,Normal
0.5019990000000001,0.5115989999999999,0.664874,0.40338799999999997,0.5015999999999999,5.0,13.0,WT,Competition_Landscape,-0.261486,Failed
0.500799,0.495401,0.6566120000000001,0.39160400000000006,0.496801,5.0,14.0,WT,Competition_Landscape,-0.265008,Failed
0.502801,0.4957999999999999,0.399859,0.794235,0.510601,6.0,1.0,WT,Competition_Landscape,0.394376,Hyper
0.4968,0.5002,0.447139,0.70217,0.49500000000000005,6.0,2.0,WT,Competition_Landscape,0.25503099999999995,Hyper
0.508599,0.49939999999999996,0.48495199999999994,0.6439679999999999,0.496598,6.0,3.0,WT,Competition_Landscape,0.15901599999999994,Normal
0.5045999999999999,0.4986,0.495303,0.6228049999999999,0.503401,6.0,4.0,WT,Competition_Landscape,0.12750199999999995,Normal
0.506002,0.502401,0.534334,0.584788,0.499401,6.0,5.0,WT,Competition_Landscape,0.050454,Normal
0.5018,0.508001,0.555611,0.547295,0.5034,6.0,6.0,WT,Competition_Landscape,-0.00831599999999999,Normal
0.494201,0.502,0.564426,0.522076,0.490201,6.0,7.0,WT,Competition_Landscape,-0.04235,Normal
0.496401,0.498001,0.57945,0.49857199999999996,0.49600000000000005,6.0,8.0,WT,Competition_Landscape,-0.08087800000000006,Normal
0.5016010000000001,0.501,0.58962,0.48967200000000005,0.5146,6.0,9.0,WT,Competition_Landscape,-0.09994799999999998,Normal
0.5113989999999999,0.49379900000000004,0.6179610000000001,0.458174,0.4935999999999999,6.0,10.0,WT,Competition_Landscape,-0.15978700000000007,Normal
0.507201,0.4956,0.6212900000000001,0.4465449999999999,0.501,6.0,11.0,WT,Competition_Landscape,-0.1747450000000002,Normal
0.494801,0.5006,0.6230100000000001,0.44392,0.518401,6.0,12.0,WT,Competition_Landscape,-0.17909000000000008,Normal
0.5052019999999999,0.49520299999999995,0.633448,0.426258,0.495803,6.0,13.0,WT,Competition_Landscape,-0.20718999999999999,Normal
0.49980099999999994,0.49699899999999997,0.6569970000000002,0.4002650000000001,0.49600099999999997,6.0,14.0,WT,Competition_Landscape,-0.25673200000000007,Failed
0.5013989999999999,0.491,0.36604600000000004,0.7970140000000001,0.5088,7.0,1.0,WT,Competition_Landscape,0.4309680000000001,Hyper
0.502,0.5018,0.42972099999999996,0.718331,0.49999899999999997,7.0,2.0,WT,Competition_Landscape,0.2886100000000001,Hyper
0.5086,0.4966,0.453935,0.6652549999999999,0.504,7.0,3.0,WT,Competition_Landscape,0.21131999999999995,Normal
0.498401,0.510199,0.47509299999999993,0.635474,0.508599,7.0,4.0,WT,Competition_Landscape,0.16038100000000005,Normal
0.497401,0.499801,0.516933,0.5835239999999999,0.495001,7.0,5.0,WT,Competition_Landscape,0.06659099999999996,Normal
0.4948,0.48539800000000005,0.524815,0.5614239999999999,0.502601,7.0,6.0,WT,Competition_Landscape,0.03660899999999989,Normal
0.492599,0.48959900000000006,0.532679,0.544413,0.4979990000000001,7.0,7.0,WT,Competition_Landscape,0.011734000000000022,Normal
0.5127989999999999,0.49399799999999994,0.564299,0.5126999999999999,0.488998,7.0,8.0,WT,Competition_Landscape,-0.05159900000000006,Normal
0.501799,0.49399800000000005,0.570867,0.4979950000000001,0.508198,7.0,9.0,WT,Competition_Landscape,-0.07287199999999994,Normal
0.5142,0.49959999999999993,0.589452,0.475799,0.4864,7.0,10.0,WT,Competition_Landscape,-0.11365299999999995,Normal
0.494201,0.489801,0.589642,0.477526,0.5042,7.0,11.0,WT,Competition_Landscape,-0.112116,Normal
0.5016,0.5018,0.58915,0.462119,0.49259899999999995,7.0,12.0,WT,Competition_Landscape,-0.12703099999999995,Normal
0.5004000000000001,0.49760000000000004,0.6215709999999999,0.43773,0.49399999999999994,7.0,13.0,WT,Competition_Landscape,-0.18384099999999987,Normal
0.48119999999999996,0.5072,0.616598,0.43339900000000003,0.5049980000000001,7.0,14.0,WT,Competition_Landscape,-0.18319899999999995,Normal
