RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.488831,0.5361739999999999,0.49940100000000004,$RhoC_mod,1.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.04734299999999991,Normal
0.440575,0.6031009999999999,0.49779999999999996,$RhoC_mod,2.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.1625259999999999,Normal
0.418389,0.6529849999999999,0.4972,$RhoC_mod,3.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.23459599999999992,Normal
0.391894,0.68049,0.4968,$RhoC_mod,4.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.288596,Hyper
0.410264,0.666661,0.4888,$RhoC_mod,5.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.25639699999999993,Hyper
0.39189100000000004,0.6946890000000001,0.498199,$RhoC_mod,6.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.30279800000000007,Hyper
0.390984,0.69606,0.49960000000000004,$RhoC_mod,7.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.305076,Hyper
0.548226,0.44406100000000004,0.4898,$RhoC_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.10416499999999995,Normal
0.47699199999999997,0.546747,0.503599,$RhoC_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.06975500000000001,Normal
0.462467,0.58521,0.507199,$RhoC_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.12274299999999999,Normal
0.42615500000000006,0.628189,0.49900100000000003,$RhoC_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.20203399999999994,Normal
0.40608199999999994,0.6594359999999999,0.5008,$RhoC_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.25335399999999997,Hyper
0.39416400000000007,0.686983,0.487801,$RhoC_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.29281899999999994,Hyper
0.375825,0.714208,0.5102,$RhoC_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.33838299999999993,Hyper
0.082371,0.82041,0.492601,$RhoA_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.738039,Hyper
0.222869,0.744593,0.5024000000000001,$RhoA_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.521724,Hyper
0.313637,0.705723,0.4994,$RhoA_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.392086,Hyper
0.383724,0.671882,0.508201,$RhoA_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.28815799999999997,Hyper
0.45646,0.6297860000000001,0.4998,$RhoA_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.1733260000000001,Normal
0.484,0.619517,0.49639999999999995,$RhoA_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.135517,Normal
0.538532,0.5905050000000001,0.510601,$RhoA_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.05197300000000005,Normal
