DSP,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.4992000000000001,0.44853499999999996,0.634068,0.5062,$RhoA_mod,1.0,N/A,,JCAD,JCAD_Sweep,1D,0.185533,Normal
0.49559999999999993,0.528845,0.5969300000000001,0.4962,$RhoA_mod,2.0,N/A,,JCAD,JCAD_Sweep,1D,0.06808500000000006,Normal
0.501601,0.57428,0.5693429999999999,0.4959999999999999,$RhoA_mod,3.0,N/A,,JCAD,JCAD_Sweep,1D,-0.00493700000000008,Normal
0.5058010000000001,0.602722,0.543405,0.4956,$RhoA_mod,4.0,N/A,,JCAD,JCAD_Sweep,1D,-0.05931699999999995,Normal
0.49920099999999995,0.622967,0.5449550000000001,0.49140199999999995,$RhoA_mod,5.0,N/A,,JCAD,JCAD_Sweep,1D,-0.07801199999999997,Normal
0.509001,0.628359,0.548443,0.4924,$RhoA_mod,6.0,N/A,,JCAD,JCAD_Sweep,1D,-0.07991599999999999,Normal
0.49460000000000004,0.641319,0.5398430000000001,0.510401,$RhoA_mod,7.0,N/A,,JCAD,JCAD_Sweep,1D,-0.1014759999999999,Normal
0.49099999999999994,0.639172,0.442038,0.489,$RhoC_mod,1.0,N/A,,JCAD,JCAD_Sweep,1D,-0.19713399999999998,Normal
0.482401,0.591424,0.521831,0.501201,$RhoC_mod,2.0,N/A,,JCAD,JCAD_Sweep,1D,-0.0695929999999999,Normal
0.5045999999999999,0.568755,0.5770199999999999,0.5072,$RhoC_mod,3.0,N/A,,JCAD,JCAD_Sweep,1D,0.008264999999999856,Normal
0.501401,0.5564150000000001,0.597202,0.49139999999999995,$RhoC_mod,4.0,N/A,,JCAD,JCAD_Sweep,1D,0.04078699999999991,Normal
0.49979999999999997,0.551796,0.6153150000000001,0.5008,$RhoC_mod,5.0,N/A,,JCAD,JCAD_Sweep,1D,0.0635190000000001,Normal
0.505598,0.5558969999999999,0.619097,0.4886,$RhoC_mod,6.0,N/A,,JCAD,JCAD_Sweep,1D,0.06320000000000014,Normal
0.5044,0.532208,0.6520460000000001,0.505,$RhoC_mod,7.0,N/A,,JCAD,JCAD_Sweep,1D,0.11983800000000011,Normal
0.503,0.41076,0.649323,0.5024,$RhoA_basal,0.1,N/A,,JCAD,JCAD_Sweep,1D,0.23856299999999997,Normal
0.501601,0.471306,0.630965,0.4936,$RhoA_basal,0.30000000000000004,N/A,,JCAD,JCAD_Sweep,1D,0.159659,Normal
0.501799,0.5123519999999999,0.59064,0.493001,$RhoA_basal,0.5000000000000001,N/A,,JCAD,JCAD_Sweep,1D,0.07828800000000014,Normal
0.496801,0.536357,0.5839799999999999,0.5088010000000001,$RhoA_basal,0.7000000000000002,N/A,,JCAD,JCAD_Sweep,1D,0.04762299999999997,Normal
0.4920010000000001,0.581993,0.559921,0.49240199999999995,$RhoA_basal,0.9000000000000001,N/A,,JCAD,JCAD_Sweep,1D,-0.02207199999999998,Normal
0.49900100000000003,0.6056680000000001,0.549276,0.5142,$RhoA_basal,1.1,N/A,,JCAD,JCAD_Sweep,1D,-0.05639200000000011,Normal
0.4908,0.633227,0.544142,0.5034,$RhoA_basal,1.3000000000000003,N/A,,JCAD,JCAD_Sweep,1D,-0.08908499999999997,Normal
0.501999,0.647408,0.412827,0.5081999999999999,$RhoC_basal,0.1,N/A,,JCAD,JCAD_Sweep,1D,-0.23458099999999998,Normal
0.5018,0.6218170000000001,0.47371499999999994,0.505,$RhoC_basal,0.30000000000000004,N/A,,JCAD,JCAD_Sweep,1D,-0.14810200000000012,Normal
0.49819900000000006,0.594691,0.521715,0.498598,$RhoC_basal,0.5000000000000001,N/A,,JCAD,JCAD_Sweep,1D,-0.07297599999999993,Normal
0.500999,0.578031,0.55513,0.4964,$RhoC_basal,0.7000000000000002,N/A,,JCAD,JCAD_Sweep,1D,-0.02290099999999995,Normal
0.501799,0.563679,0.5897749999999999,0.504,$RhoC_basal,0.9000000000000001,N/A,,JCAD,JCAD_Sweep,1D,0.026095999999999897,Normal
0.4886,0.5527839999999999,0.6067229999999999,0.499001,$RhoC_basal,1.1,N/A,,JCAD,JCAD_Sweep,1D,0.05393899999999996,Normal
0.514001,0.530837,0.6324179999999999,0.509001,$RhoC_basal,1.3000000000000003,N/A,,JCAD,JCAD_Sweep,1D,0.10158099999999992,Normal
