JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.5040009999999999,0.33169899999999997,0.679154,0.495801,$RhoC_mod,5.25,N/A,,DSP,DSP_Sweep,1D,0.34745500000000007,Hyper
0.4972,0.47903399999999996,0.40902099999999997,0.512601,$RhoC_amp,0.0,N/A,,DSP,DSP_Sweep,1D,-0.07001299999999999,Normal
0.5018,0.376003,0.598023,0.490999,$RhoC_amp,2.5,N/A,,DSP,DSP_Sweep,1D,0.22202,Normal
0.505801,0.361645,0.626077,0.497401,$RhoC_amp,5.0,N/A,,DSP,DSP_Sweep,1D,0.264432,Hyper
0.5028,0.34752500000000003,0.648481,0.5008009999999999,$RhoC_amp,7.5,N/A,,DSP,DSP_Sweep,1D,0.30095599999999995,Hyper
0.5005999999999999,0.355893,0.639429,0.4888,$RhoC_amp,10.0,N/A,,DSP,DSP_Sweep,1D,0.283536,Hyper
0.5126,0.351726,0.640614,0.4928,$RhoC_amp,12.5,N/A,,DSP,DSP_Sweep,1D,0.28888800000000003,Hyper
0.501601,0.3379,0.650316,0.48819999999999997,$RhoC_amp,15.0,N/A,,DSP,DSP_Sweep,1D,0.312416,Hyper
0.49339999999999995,0.34433899999999995,0.654408,0.502001,$RhoC_amp,17.5,N/A,,DSP,DSP_Sweep,1D,0.31006900000000004,Hyper
0.5027999999999999,0.349163,0.6564009999999999,0.49999999999999994,$RhoC_amp,20.0,N/A,,DSP,DSP_Sweep,1D,0.3072379999999999,Hyper
0.511799,0.34107299999999996,0.64211,0.5042,$RhoC_amp,22.5,N/A,,DSP,DSP_Sweep,1D,0.301037,Hyper
0.509799,0.339557,0.646218,0.5025999999999999,$RhoC_amp,25.0,N/A,,DSP,DSP_Sweep,1D,0.30666099999999996,Hyper
0.5156,0.344013,0.650528,0.4916,$RhoC_amp,27.5,N/A,,DSP,DSP_Sweep,1D,0.306515,Hyper
0.501799,0.350631,0.6418590000000001,0.48919900000000005,$RhoC_amp,30.0,N/A,,DSP,DSP_Sweep,1D,0.29122800000000004,Hyper
0.500199,0.334564,0.6579510000000001,0.496401,$RhoC_amp,32.5,N/A,,DSP,DSP_Sweep,1D,0.3233870000000001,Hyper
