DSP,JCAD,RhoA,RhoC,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.487,0.5055999999999999,0.642658,0.343706,$RhoA_amp,17.5,N/A,,TJP1,TJP1_Sweep,1D,-0.29895199999999994,Failed
0.489202,0.49260100000000007,0.643831,0.34456400000000004,$RhoA_amp,20.0,N/A,,TJP1,TJP1_Sweep,1D,-0.299267,Failed
0.4972,0.495,0.645069,0.349178,$RhoA_amp,22.5,N/A,,TJP1,TJP1_Sweep,1D,-0.295891,Failed
0.48940000000000006,0.5014000000000001,0.64278,0.3483,$RhoA_amp,25.0,N/A,,TJP1,TJP1_Sweep,1D,-0.29448,Failed
0.49099899999999996,0.49139999999999995,0.645695,0.348557,$RhoA_amp,27.5,N/A,,TJP1,TJP1_Sweep,1D,-0.297138,Failed
0.501198,0.507199,0.6544479999999999,0.335476,$RhoA_amp,30.0,N/A,,TJP1,TJP1_Sweep,1D,-0.3189719999999999,Failed
0.511,0.502,0.659516,0.333854,$RhoA_amp,32.5,N/A,,TJP1,TJP1_Sweep,1D,-0.325662,Failed
0.500399,0.49739900000000004,0.64991,0.34261199999999997,$RhoA_amp,35.0,N/A,,TJP1,TJP1_Sweep,1D,-0.307298,Failed
0.5048,0.502,0.651576,0.33486699999999997,$RhoA_amp,37.5,N/A,,TJP1,TJP1_Sweep,1D,-0.3167090000000001,Failed
0.509201,0.4842000000000001,0.699985,0.33887599999999996,$RhoA_decay,0.05,N/A,,TJP1,TJP1_Sweep,1D,-0.361109,Failed
0.48920099999999994,0.508001,0.650355,0.342752,$RhoA_decay,0.15000000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.307603,Failed
0.491199,0.500599,0.628999,0.357217,$RhoA_decay,0.25000000000000006,N/A,,TJP1,TJP1_Sweep,1D,-0.27178199999999997,Failed
0.504599,0.5038,0.590815,0.358413,$RhoA_decay,0.3500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.232402,Normal
0.500999,0.4944,0.569434,0.367622,$RhoA_decay,0.45000000000000007,N/A,,TJP1,TJP1_Sweep,1D,-0.201812,Normal
0.495799,0.495,0.5552239999999999,0.35390399999999994,$RhoA_decay,0.55,N/A,,TJP1,TJP1_Sweep,1D,-0.20132,Normal
0.500599,0.487401,0.532469,0.364609,$RhoA_decay,0.6500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.16785999999999995,Normal
0.5002,0.48619899999999994,0.516849,0.36724100000000004,$RhoA_decay,0.7500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.14960799999999996,Normal
0.49219999999999997,0.497001,0.48741599999999996,0.374795,$RhoA_decay,0.8500000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.11262099999999997,Normal
0.485599,0.506799,0.48401800000000006,0.383188,$RhoA_decay,0.9500000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.10083000000000009,Normal
0.5084010000000001,0.5162009999999999,0.486379,0.370968,$RhoA_decay,1.0500000000000003,N/A,,TJP1,TJP1_Sweep,1D,-0.11541099999999999,Normal
