,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.6,0.001305,0.003349,0.003546,0.058963,0.010213,0.041002,0.022013,0.010724,0.012126,0.008578,0.004291,0.077562,0.072919,0.293204,0.053914,0.052524,0.064234,0.003018,0.012337,0.010095,0.007382,0.003702,0.004777,0.001414,0.004377,0.002749,0.014117,0.057278,0.044819,0.012297,0.01912,0.012051
1.7,0.001287,0.002369,0.003382,0.060357,0.009804,0.039944,0.020702,0.010582,0.011872,0.007832,0.003537,0.074896,0.07552,0.303841,0.052704,0.051456,0.064728,0.002312,0.011393,0.009939,0.007811,0.003558,0.004257,0.001487,0.004149,0.002204,0.013456,0.057573,0.044904,0.01194,0.017791,0.012413
1.8,0.001473,0.001932,0.003076,0.060101,0.011153,0.038729,0.019321,0.009098,0.011614,0.007366,0.004215,0.077009,0.0778,0.308701,0.05182,0.051109,0.064458,0.002591,0.011473,0.009205,0.007554,0.003631,0.00372,0.001507,0.003867,0.002024,0.012981,0.057003,0.044911,0.010933,0.01615,0.013476
1.9,0.001468,0.002217,0.002123,0.060759,0.01127,0.038848,0.018191,0.009036,0.010303,0.007289,0.004247,0.078608,0.075936,0.317495,0.050497,0.049621,0.064077,0.00222,0.010953,0.009375,0.007371,0.004011,0.003448,0.001401,0.0039,0.00242,0.013268,0.056123,0.045536,0.00974,0.01547,0.012778
2.0,0.00134,0.002846,0.002027,0.060105,0.012249,0.040057,0.017808,0.00807,0.009558,0.006305,0.003755,0.0788,0.07456,0.323858,0.049937,0.049916,0.063791,0.002012,0.011464,0.00959,0.00734,0.004252,0.003285,0.001316,0.003669,0.002951,0.014008,0.054688,0.044654,0.008284,0.015421,0.012082
2.1,0.000935,0.003057,0.002387,0.058767,0.01233,0.042162,0.017254,0.007891,0.008031,0.006869,0.003633,0.079824,0.077752,0.32514,0.04946,0.048975,0.063572,0.001878,0.011421,0.009191,0.007367,0.004085,0.00337,0.001395,0.002907,0.002359,0.012607,0.055531,0.045829,0.007925,0.014444,0.011652
2.2,0.000483,0.00254,0.003095,0.055763,0.011267,0.04528,0.016531,0.008145,0.007595,0.007227,0.003613,0.083774,0.08178,0.324002,0.048322,0.048845,0.062698,0.001419,0.011142,0.009777,0.007618,0.004023,0.003361,0.001589,0.002434,0.001785,0.012157,0.055543,0.045604,0.008528,0.014121,0.009938
2.3,0.000547,0.002245,0.002645,0.057308,0.010428,0.044902,0.015443,0.007479,0.009223,0.006739,0.003964,0.08413,0.081335,0.330737,0.047095,0.048343,0.060911,0.001277,0.010947,0.010424,0.007311,0.003657,0.002891,0.001585,0.002161,0.00179,0.011863,0.054424,0.046587,0.008209,0.0145,0.008902
2.4,0.000557,0.001618,0.00218,0.057673,0.010324,0.045503,0.014862,0.007604,0.009522,0.006828,0.004191,0.085803,0.082601,0.333933,0.046768,0.045914,0.060329,0.001156,0.009769,0.009946,0.006925,0.003163,0.002975,0.00136,0.002234,0.001994,0.013846,0.054695,0.045337,0.007469,0.014119,0.008804
2.5,0.00075,0.001195,0.001855,0.058373,0.010392,0.045083,0.014238,0.007663,0.009331,0.007039,0.003065,0.087511,0.084013,0.337816,0.046978,0.045151,0.059212,0.001122,0.009644,0.009718,0.007407,0.003054,0.003142,0.000896,0.001899,0.00233,0.012957,0.05393,0.044565,0.007464,0.014508,0.007699
2.6,0.000638,0.001442,0.002746,0.055567,0.011412,0.044639,0.013139,0.00775,0.0086,0.006508,0.00384,0.086871,0.082825,0.34247,0.047536,0.043864,0.05789,0.001294,0.009872,0.009117,0.007469,0.002912,0.002939,0.001523,0.00203,0.00204,0.012854,0.052674,0.047344,0.007428,0.014941,0.007826
2.7,0.000615,0.001239,0.002873,0.054522,0.01228,0.04371,0.013925,0.007739,0.008426,0.005968,0.003139,0.088319,0.084228,0.343952,0.047654,0.042788,0.056266,0.00153,0.010138,0.008928,0.006756,0.002467,0.002609,0.001685,0.002485,0.002487,0.013193,0.051537,0.049017,0.007152,0.014126,0.008245
2.8,0.00062,0.001512,0.002508,0.05358,0.012277,0.044483,0.0141,0.007429,0.008499,0.005439,0.003476,0.086407,0.087068,0.347859,0.047941,0.040532,0.055401,0.001699,0.009127,0.008486,0.005957,0.002703,0.002151,0.001679,0.002625,0.002022,0.013592,0.05177,0.049662,0.007599,0.013914,0.007884
2.9,0.000543,0.001534,0.002443,0.052388,0.012706,0.046339,0.013652,0.007367,0.008108,0.005973,0.004031,0.083809,0.084385,0.355909,0.046998,0.038683,0.054301,0.001647,0.008754,0.008984,0.006193,0.002582,0.001926,0.00173,0.002374,0.002242,0.013112,0.052451,0.048902,0.007675,0.013609,0.00865
3.0,0.000633,0.001708,0.002669,0.052959,0.013649,0.046082,0.012705,0.007229,0.008107,0.005599,0.004359,0.087105,0.085536,0.356263,0.046347,0.038387,0.052776,0.00158,0.008562,0.009338,0.006303,0.002426,0.001496,0.001554,0.001981,0.002164,0.012572,0.051361,0.049393,0.007606,0.011761,0.009789
3.1,0.000455,0.001745,0.002701,0.051797,0.013687,0.045422,0.013119,0.006935,0.00767,0.004812,0.004753,0.088388,0.086987,0.362428,0.043751,0.037643,0.053142,0.001837,0.007829,0.008998,0.006722,0.002344,0.001626,0.001112,0.00176,0.002123,0.012977,0.050058,0.048548,0.007383,0.011327,0.009923
3.2,0.000501,0.001705,0.002194,0.051635,0.013436,0.044919,0.012811,0.006794,0.008241,0.004583,0.003913,0.087315,0.087544,0.368958,0.042026,0.035911,0.05323,0.001739,0.007821,0.009357,0.006854,0.001907,0.001612,0.001464,0.001759,0.00188,0.013503,0.051305,0.046809,0.006983,0.012121,0.009171
3.3,0.000582,0.001652,0.002148,0.051877,0.013452,0.044843,0.012716,0.005541,0.007953,0.004192,0.002406,0.08787,0.087466,0.371464,0.041425,0.038305,0.051882,0.001165,0.008183,0.009889,0.006351,0.001875,0.001443,0.001069,0.001583,0.002327,0.013035,0.052898,0.047244,0.006436,0.012089,0.00864
3.4,0.000563,0.00157,0.002267,0.052227,0.012498,0.045135,0.012883,0.005591,0.007653,0.003758,0.002771,0.088771,0.085214,0.370648,0.041407,0.037476,0.052942,0.001152,0.008664,0.009291,0.006575,0.002073,0.001966,0.000921,0.001268,0.002215,0.012415,0.054741,0.049421,0.00681,0.011584,0.00753
3.5,0.000396,0.001641,0.002982,0.053441,0.011333,0.044034,0.012411,0.004945,0.008301,0.003753,0.003392,0.088206,0.086464,0.371801,0.041908,0.037601,0.052026,0.001039,0.008814,0.008975,0.006366,0.002459,0.002209,0.000796,0.00154,0.002628,0.012608,0.053664,0.048706,0.00662,0.011989,0.006953
3.6,0.00021,0.001603,0.002647,0.054014,0.010477,0.044475,0.012213,0.00483,0.00827,0.004052,0.003193,0.086881,0.088798,0.374199,0.040407,0.038962,0.051779,0.000976,0.009049,0.008232,0.006198,0.002719,0.001977,0.000983,0.001766,0.002943,0.011768,0.052381,0.048284,0.006822,0.012282,0.00661
3.7,0.000129,0.001649,0.002282,0.05495,0.010786,0.045799,0.01328,0.005106,0.007197,0.004454,0.003281,0.087066,0.090899,0.370717,0.039144,0.038576,0.051144,0.001041,0.008807,0.007166,0.006301,0.00283,0.002227,0.001074,0.001688,0.002747,0.012351,0.052239,0.047933,0.007208,0.012912,0.007017
3.8,0.000152,0.001783,0.00238,0.053041,0.012714,0.048297,0.013615,0.005313,0.00631,0.004559,0.003246,0.089426,0.089828,0.36603,0.038316,0.038925,0.051955,0.001192,0.008152,0.006787,0.006838,0.002129,0.002396,0.001256,0.001919,0.002515,0.012044,0.051925,0.05005,0.008143,0.012088,0.006675
3.9,0.000289,0.002083,0.002495,0.051314,0.011977,0.049105,0.012909,0.004598,0.007209,0.004715,0.003921,0.086301,0.088254,0.370942,0.03904,0.039403,0.05096,0.00115,0.00806,0.007842,0.006519,0.001746,0.002438,0.001209,0.002174,0.001957,0.011845,0.052334,0.051608,0.007838,0.010792,0.006974
