t,DSP,TJP1,JCAD,RhoA,RhoC,delta,scenario
3.9,0.502201,0.500601,0.5015019999999999,0.603442,0.597614,-0.005828000000000055,WT
3.9,0.0,0.506399,0.509899,0.389659,0.6939500000000001,0.3042910000000001,DSP
3.9,0.497699,0.0,0.5005000000000001,0.6791280000000001,0.39780400000000005,-0.281324,TJP1
3.9,0.506001,0.4903,0.0,0.568926,0.566286,-0.0026400000000000867,JCAD
3.9,0.0,0.0,0.49929900000000005,0.504903,0.505456,0.0005530000000000257,DSP_TJP1
3.9,0.0,0.5008999999999999,0.0,0.41997599999999996,0.643106,0.22313,DSP_JCAD
3.9,0.5103,0.0,0.0,0.6569520000000001,0.41162,-0.2453320000000001,TJP1_JCAD
3.9,0.0,0.0,0.0,0.501429,0.502252,0.0008230000000000182,DSP_TJP1_JCAD
