Label,Centroid_Y,Centroid_X,Major/Minor Ratio,Major Axis Length,Minor Axis Length,Perimeter,Area,Circularity
60,54.993855606758835,1194.968253968254,1.575572643166129,126.43116206565783,80.24457813102997,421.94826817189073,5859.0,0.41353754441555346
62,70.33944653676109,2540.416407401343,2.773349594691038,173.41276320233817,62.52827394508734,471.58787847867995,6107.0,0.3450742214226407
64,44.20817011751539,1406.200615556799,2.14878071944317,101.72670064396131,47.3415922450768,276.7411613907041,3574.0,0.5864309646508115
65,70.78689087165408,1503.8078242964996,2.526714871137233,99.14997715258832,39.240667114909776,267.8944443027283,2914.0,0.5102370572897295
66,54.222581141362866,169.2319643131826,3.591199525179421,191.44420826682685,53.30926530941275,531.280266634105,6501.0,0.2894294102504035
67,75.03096085409253,2829.4871886120995,7.4685750235716615,277.47739786313883,37.15265589317762,614.4224022578361,5620.0,0.1870734241839045
68,86.8385239158538,679.5456575390763,3.844602985545809,210.7583860973846,54.81928482336226,559.7838379715732,8509.0,0.3412303698597676
69,79.11222748815166,2313.279241706161,4.51546813294804,234.5161989569135,51.936187356902806,562.4579361637689,5275.0,0.2095329030239976
70,54.04239434742034,542.524996667111,2.419786995899978,154.9595215817177,64.03849671242838,437.3624817342638,7501.0,0.49277195055229933
71,65.74806415929204,1381.9964048672566,4.69710776516523,153.6837473935995,32.71880379951074,330.33304448274095,3616.0,0.4164225562672263
72,40.6659678546471,434.5066387141859,2.233986154797418,64.5838799734484,28.90970467062048,162.61017305526642,1431.0,0.6800707149681984
74,135.62041569697456,1793.2689992777466,4.782779648646827,293.6924509731409,61.406226618914836,706.2051942088829,12461.0,0.3139792480320251
75,118.33904459321457,3134.5680245092476,10.558724228993052,409.44980562783746,38.778340711232424,876.1168824543141,8813.0,0.1442811302976619
76,104.04641927974805,818.2000547720115,2.6382818882857486,159.9416787670401,60.62342294703159,425.6883835420683,7303.0,0.5064394944671621
77,86.33319755600814,1544.362118126273,3.2708940913640205,106.4059289236344,32.53114468138015,260.1726188957803,2455.0,0.45576207458332174
78,109.92953682611997,1090.7131359149582,4.850479461604793,220.38332055717004,45.43536825620445,574.6660889654819,6585.0,0.25057313288964084
80,87.49152542372882,2513.0583804143125,4.746521258827251,121.60412706076066,25.619631816587727,281.08430714121175,2124.0,0.3378245266709317
83,109.70880361173815,1127.7849887133182,8.54194036600674,223.9399447170467,26.216519329522793,496.51785668734107,3544.0,0.18064828096889426
84,101.59650787625735,2302.3066995634845,4.295435351474449,180.04747930924125,41.91600258805856,424.2447327281724,5269.0,0.36787912482651786
87,117.93139149641082,2246.7371617890667,5.3595650276959175,237.4028749845896,44.29517577598071,601.2630226914019,7244.0,0.2518020804430605
88,101.25725422260719,2497.5742745777393,5.497411542449079,131.78102310835598,23.97146767906846,290.048773235279,2309.0,0.34489883787685094
89,116.60991835500454,1852.2691260961597,6.5481912947679515,187.1653550380666,28.58275615552236,437.6467529817257,3307.0,0.21696847555693893
90,78.76563623292596,1293.8878504672898,3.7268041639460425,122.01363879120572,32.739482254418846,313.1198410471445,2782.0,0.35657083166760856
91,107.61639937920332,1939.3065183652354,5.172318832340425,168.87142275396525,32.649074472764575,382.65284963613556,3866.0,0.3317888673974559
92,118.42113506541368,2452.76967016768,2.325944693738048,186.30594312838397,80.09904260834762,519.3868683519032,10854.0,0.5056124402422107
94,154.77708691625875,1061.0996163513691,4.958810018866658,238.0614848925705,48.00778492961497,575.3990616607231,7559.0,0.2869035425322316
95,66.99835742444152,2647.486859395532,5.7667970154188914,164.43011454209827,28.513248186550626,406.80003589374985,3044.0,0.23114928105092464
96,71.94011467402845,2894.5852622637503,2.8099849164711506,131.80891572614712,46.90733923642411,358.9005409571382,4709.0,0.4593992994645242
97,139.577195584116,1019.2135442412259,5.2430969246234715,212.50332066544047,40.530114876848515,508.7361107568208,6069.0,0.29467403533987646
98,116.14107274063188,3090.899044819985,9.480271686877002,302.8537709365828,31.945684779878825,696.2996026178613,6805.0,0.1763785219578423
99,100.79871618523613,1573.5369096744612,4.0653790283841795,108.8943774873649,26.785787186649095,242.7523086789974,2181.0,0.4650919169245007
100,115.18336092715232,979.9913079470199,4.175439968581398,116.60684010516545,27.926839083446936,267.6162697096763,2416.0,0.4239179129526733
101,87.39952578541791,1230.388263189093,1.4972285763795787,83.62643081907913,55.85415088809932,262.35028842544403,3374.0,0.6160157984317703
102,90.54221635883906,1461.7774846086193,1.3275469444402928,62.95590349369066,47.42273239929268,223.10155108391487,2274.0,0.5741100442133824
104,103.29838709677419,502.09502103786815,3.4639900007632662,202.93445771859487,58.58401949020629,528.8660530717319,5704.0,0.25627013527839243
