Label,Centroid_Y,Centroid_X,Major/Minor Ratio,Major Axis Length,Minor Axis Length,Perimeter,Area,Circularity
119,132.54276629570748,2324.8903020667726,11.041733048689393,265.84015403939935,24.075944678897436,503.26197667087547,3145.0,0.15604227580897598
120,124.709470685972,167.539995252789,10.765889200644729,250.41691827402343,23.260216932106907,555.883297014435,4213.0,0.17133025991802026
121,66.51218719532012,1985.5934351641208,3.8005171078986697,125.03649989402881,32.89986502998859,280.99494936611666,3077.0,0.48971153344879476
122,75.72422276895549,1955.0639677924403,3.417518562542991,152.9682798734595,44.7600436029922,432.7350647362943,4471.0,0.3000339215712982
123,96.05670001961938,3105.8379438885618,6.323659555286315,211.0516733388562,33.37492657434821,503.6883835420683,5097.0,0.25246467951715523
124,77.03145437558393,2180.8744939271255,4.57249127633783,150.8382214502848,32.98819228608637,340.1665222413705,3211.0,0.34871210998252566
125,95.72169811320755,3059.427044025157,9.542241834136643,214.5364722849135,22.482816513560326,468.7766952966369,3180.0,0.1818465047009735
126,64.06671899529043,2581.6828885400314,4.1406705394373216,124.1236997727502,29.976714783402556,291.44469683442253,2548.0,0.37696147940730473
127,85.83662245228082,2237.1429957942414,7.209513988051617,177.97312173044185,24.685869536476115,366.5035713374682,3091.0,0.28916947549813543
128,118.22001394700139,476.90829846582983,14.744327703641973,236.38546871601073,16.032298892652904,503.06096654409873,2868.0,0.14241238812516172
129,52.78442171518489,2213.9480723839497,3.252679676793595,111.07183537409064,34.147793945569916,278.2670273047588,2542.0,0.4125360568913515
130,55.482265446224254,2466.0154462242563,3.026734677166411,83.91101509476182,27.723280711647377,213.71677477306466,1748.0,0.4809213628843925
131,142.4408322496749,441.6436931079324,10.206849415792096,311.838775337365,30.551912998234915,639.0609665440988,6152.0,0.18929607408450777
132,74.70962899420974,649.5635856744585,3.6515715650189944,162.4806035579121,44.49607536503723,409.2447327281724,4663.0,0.3498719154048905
133,50.26981132075472,2526.675,1.7808197630691067,70.8699149097411,39.79623113997916,207.43250352560273,2120.0,0.6191446251051386
134,120.95143312101911,1225.0839171974521,5.80717264717157,216.97851906471024,37.36388295092128,502.3868683519033,6280.0,0.3126748496105831
135,116.01470255598281,2864.50327980095,5.108101060496575,190.7603709892059,37.34467441618343,496.3685783886737,4421.0,0.22548715952325268
136,78.13210879547863,320.3299187566231,6.25801118020397,152.9876160896304,24.44668308896246,327.36248173426384,2831.0,0.3319647151114727
138,66.1954076850984,2558.582474226804,2.9564135093871657,92.77486936841409,31.38088399130789,237.33809511662426,2134.0,0.476068420924987
139,96.00496941896024,392.02522935779814,10.33423248671816,211.76123401733813,20.491239604827886,451.16756826189703,2616.0,0.16149975102683092
140,81.83267579484799,3347.648178231608,5.35952549282918,182.6148076536628,34.07294319207806,436.4640328181786,4309.0,0.2842427759494608
142,84.82714521452145,472.9513201320132,8.235600108213038,172.55732346640866,20.952610762915025,376.492424049175,2424.0,0.21489682369657284
143,77.1013698630137,544.0038356164383,8.09144007717271,140.65405981682284,17.383068832658257,303.6051224213831,1825.0,0.24880238744732203
144,153.5079051383399,1175.9541749011858,4.46884621450931,244.2644697516345,54.65940379835947,598.819371877506,8096.0,0.28371917005516767
145,79.30096367679762,260.8061527057079,4.057957496822427,119.44955412902202,29.435881036840993,281.3380951166243,2698.0,0.4283460083105661
146,59.85791543756145,618.7600786627336,3.4158825919332143,96.24930168878217,28.176993529016464,228.14318164425748,2034.0,0.49107273806519836
147,140.5978211529732,77.35928279618702,12.057381486311122,275.0951241842053,22.815494765304045,572.6761902332486,4406.0,0.16882474506741826
150,89.46897689768977,2367.953135313531,5.204353944526623,151.58024955401578,29.125661161733916,329.9066376115481,3030.0,0.34984074206150967
152,103.94080543425521,1678.0174672489084,3.5634209672951203,145.29113071907665,40.77293478725937,402.0071426749364,4122.0,0.3205164415661391
153,137.2072691552063,489.6961362148003,8.685294427315759,202.2361949718201,23.284898015175564,500.1147904132611,3054.0,0.1534403214259484
154,153.15093039283252,831.0099931082012,10.068393331900404,284.1797199663399,28.224932280501314,621.1381310103742,5804.0,0.18904312415776914
