Label,Centroid_Y,Centroid_X,Major/Minor Ratio,Major Axis Length,Minor Axis Length,Perimeter,Area,Circularity
89,49.648764498234996,1236.2884518406454,5.338581030930663,174.39122742866226,32.66621344103885,462.14422766478395,3966.0,0.23334984032411268
90,43.077603143418465,958.3030451866405,2.3719632495381218,79.14149962536409,33.365398743329955,202.75230867899737,2036.0,0.6223805635257671
91,84.56866985941603,1701.9083886914877,3.465757368804033,182.46609833868004,52.6482609489901,485.52900397563417,6473.0,0.34505244906636406
92,118.60669317428761,3004.382538104705,6.0659166697537135,224.91870168275707,37.07909520159781,551.7544007200504,6036.0,0.24915378188632883
94,79.26644488129442,2127.5145924693784,4.455115694295983,265.65052610022116,59.62819920486946,583.8843430349617,6613.0,0.2437556703769874
96,50.295830337886414,1600.3156002875628,2.5437890960711202,97.68758126325889,38.40239012508437,246.350288425444,2782.0,0.5760508735121693
97,67.12309665010419,2016.2524443019715,3.3141249581440615,172.32799312892087,51.99803728143854,455.34523779156063,6239.0,0.37813184338837325
99,180.6857386848847,2463.591801878736,7.0310975159951346,328.33945055334266,46.698179026304075,775.8021279348029,11710.0,0.2444920973601201
100,63.721734892787524,1029.5594541910332,5.549980767180267,127.36352813258058,22.94846297229407,293.7117241391813,2052.0,0.29891289799883547
101,108.61914228912241,1529.8457824481682,8.225646502023883,224.89037178041337,27.34014544936743,505.5767311903867,3521.0,0.17310185974774078
102,93.64988381099923,19.820681642137878,4.444633095973231,124.91432403864533,28.104529967122772,306.2020561473032,2582.0,0.3460587993240779
105,75.9412265758092,1978.778534923339,4.757884303783784,154.75762702613304,32.526563729819905,357.09650045003156,3522.0,0.34707875218346423
106,172.23249821045096,2987.418181818182,8.676705004933218,353.9439070179184,40.792432935853,813.5361466505707,6985.0,0.1326241356019477
107,66.44484928784365,3129.2898310698906,4.415509875310862,144.06828337094547,32.62777967647569,340.6761902332485,3019.0,0.3268808008012754
108,73.97908266129032,916.3243447580645,2.5090633698688647,122.24470287097544,48.721249665912,325.90663761154804,3968.0,0.469456240130988
109,142.24576271186442,2449.4474576271186,12.492596517109227,341.07572911823746,27.30222885619634,680.239682094289,5900.0,0.16022782943617445
110,139.14158352791338,2789.9866270430907,6.795573207665972,251.45732127501512,37.00310681538245,591.3696244092002,4711.0,0.16927972375805914
111,64.35823132650512,714.4888833374969,2.4934662807490042,115.503641511418,46.322519940683634,295.9066376115481,4003.0,0.5744947177625785
113,153.80832184700208,92.19684700206754,2.1438175854636636,222.92363518375998,103.98442325285161,847.1513703397204,11608.0,0.20325686746722293
116,129.54649471540773,2341.3763211480655,1.9733826649172153,173.5927792343192,87.96711470129466,586.9665581351203,10313.0,0.3761561483983602
117,142.3270127915726,293.36162528216704,6.235353052883646,276.05772231681664,44.272989833213856,599.8721497261419,6645.0,0.23205314057898502
118,116.48320355951057,1117.6264738598443,2.400655796996194,177.9029658290897,74.10598639408853,600.4995667241113,8990.0,0.3132882876456239
119,97.85013089005236,2671.7555628272253,3.928286580937451,130.6654322831261,33.26270362177699,319.4629867976521,3056.0,0.37628951603755506
120,100.93402884320344,1418.8416692236883,2.4290843333715824,107.24989776708763,44.152397796014014,295.11374439273465,3259.0,0.4702354338237493
121,86.32519809825673,1751.956259904913,3.00993435944371,111.96753485533202,37.199327787342725,280.24978336205567,3155.0,0.5047991982920662
122,52.48625083836352,648.2387659289068,2.0114706858376477,63.09761642947456,31.368896834406755,165.15432893255073,1491.0,0.686922250602736
