,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.9,0.043169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119622,0.282025,0.240221,0.094156,0.101007,0.088627,0.031173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.04096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12124,0.284038,0.242365,0.096623,0.096428,0.087251,0.031096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.03927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122254,0.285244,0.243908,0.098206,0.093681,0.086654,0.030784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.037668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122019,0.287292,0.246297,0.098275,0.091582,0.086276,0.030593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.036401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120134,0.293892,0.248087,0.096412,0.090449,0.085142,0.029483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.036301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119805,0.294481,0.249396,0.099151,0.087927,0.082888,0.03005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.036764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122238,0.294261,0.247225,0.103174,0.084508,0.08155,0.03028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.036045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123893,0.295306,0.248429,0.103569,0.08262,0.080719,0.02942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.036039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124354,0.295818,0.251234,0.103146,0.08058,0.079669,0.02916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.035275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124512,0.298503,0.254184,0.103177,0.078756,0.076496,0.029098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
