,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
1.8,0.005019,0.011417,0.0,0.0,0.0,0.0,0.077107,0.035657,0.039696,0.032824,0.0,0.0,0.0,0.0,0.204567,0.184826,0.210038,0.0,0.0,0.0,0.0,0.014893,0.015472,0.006787,0.012744,0.0,0.0,0.0,0.0,0.042127,0.065139,0.041687
1.9,0.004379,0.01139,0.0,0.0,0.0,0.0,0.074993,0.035586,0.040004,0.032952,0.0,0.0,0.0,0.0,0.206773,0.184815,0.213545,0.0,0.0,0.0,0.0,0.013375,0.013567,0.00735,0.012284,0.0,0.0,0.0,0.0,0.042386,0.064908,0.041693
2.0,0.00411,0.01148,0.0,0.0,0.0,0.0,0.07264,0.034277,0.037933,0.031601,0.0,0.0,0.0,0.0,0.208991,0.183892,0.220764,0.0,0.0,0.0,0.0,0.013594,0.013202,0.006874,0.01197,0.0,0.0,0.0,0.0,0.040688,0.064838,0.043146
2.1,0.003889,0.012803,0.0,0.0,0.0,0.0,0.069542,0.033783,0.038911,0.029632,0.0,0.0,0.0,0.0,0.208653,0.187331,0.221882,0.0,0.0,0.0,0.0,0.013356,0.012368,0.006264,0.011778,0.0,0.0,0.0,0.0,0.040413,0.065085,0.04431
2.2,0.004297,0.013038,0.0,0.0,0.0,0.0,0.06852,0.034147,0.036821,0.028682,0.0,0.0,0.0,0.0,0.208538,0.191453,0.223676,0.0,0.0,0.0,0.0,0.013065,0.011859,0.006529,0.011247,0.0,0.0,0.0,0.0,0.039896,0.06349,0.044741
2.3,0.004345,0.012331,0.0,0.0,0.0,0.0,0.068401,0.032376,0.037167,0.030288,0.0,0.0,0.0,0.0,0.207179,0.190379,0.227721,0.0,0.0,0.0,0.0,0.012595,0.0119,0.006104,0.010161,0.0,0.0,0.0,0.0,0.039794,0.063264,0.045995
2.4,0.004254,0.012105,0.0,0.0,0.0,0.0,0.068127,0.031924,0.035572,0.029507,0.0,0.0,0.0,0.0,0.210061,0.191973,0.229618,0.0,0.0,0.0,0.0,0.012454,0.011609,0.005814,0.010445,0.0,0.0,0.0,0.0,0.038401,0.062581,0.045554
2.5,0.00408,0.011559,0.0,0.0,0.0,0.0,0.067865,0.031479,0.036164,0.029383,0.0,0.0,0.0,0.0,0.208791,0.19292,0.23233,0.0,0.0,0.0,0.0,0.012224,0.011423,0.005631,0.009596,0.0,0.0,0.0,0.0,0.038695,0.06342,0.044441
2.6,0.003584,0.010964,0.0,0.0,0.0,0.0,0.065033,0.03231,0.037393,0.029322,0.0,0.0,0.0,0.0,0.206727,0.192354,0.2368,0.0,0.0,0.0,0.0,0.011857,0.011479,0.005834,0.009644,0.0,0.0,0.0,0.0,0.040367,0.063661,0.042671
2.7,0.002965,0.010605,0.0,0.0,0.0,0.0,0.06142,0.03239,0.038835,0.028361,0.0,0.0,0.0,0.0,0.209526,0.193322,0.239383,0.0,0.0,0.0,0.0,0.01215,0.01172,0.005922,0.009851,0.0,0.0,0.0,0.0,0.038961,0.062429,0.042162
2.8,0.002744,0.010129,0.0,0.0,0.0,0.0,0.060641,0.033661,0.03664,0.028649,0.0,0.0,0.0,0.0,0.211441,0.192404,0.242455,0.0,0.0,0.0,0.0,0.012162,0.011689,0.006047,0.009552,0.0,0.0,0.0,0.0,0.037093,0.062967,0.041726
2.9,0.003429,0.009843,0.0,0.0,0.0,0.0,0.059956,0.034859,0.034876,0.029982,0.0,0.0,0.0,0.0,0.213622,0.193606,0.241795,0.0,0.0,0.0,0.0,0.012011,0.011012,0.005823,0.009459,0.0,0.0,0.0,0.0,0.036751,0.062552,0.040425
3.0,0.003893,0.00916,0.0,0.0,0.0,0.0,0.06061,0.035829,0.03333,0.029507,0.0,0.0,0.0,0.0,0.215433,0.193675,0.245765,0.0,0.0,0.0,0.0,0.011101,0.010208,0.00544,0.010188,0.0,0.0,0.0,0.0,0.035164,0.059826,0.040872
3.1,0.003713,0.009185,0.0,0.0,0.0,0.0,0.061377,0.03426,0.032255,0.0295,0.0,0.0,0.0,0.0,0.215999,0.195049,0.248924,0.0,0.0,0.0,0.0,0.010375,0.010409,0.005462,0.010188,0.0,0.0,0.0,0.0,0.035326,0.057436,0.040542
3.2,0.003663,0.010074,0.0,0.0,0.0,0.0,0.06053,0.034805,0.031325,0.030877,0.0,0.0,0.0,0.0,0.215859,0.198774,0.244845,0.0,0.0,0.0,0.0,0.010801,0.010503,0.00542,0.009942,0.0,0.0,0.0,0.0,0.036165,0.055729,0.040688
3.3,0.003898,0.010755,0.0,0.0,0.0,0.0,0.059449,0.033821,0.032708,0.03054,0.0,0.0,0.0,0.0,0.220253,0.20002,0.239693,0.0,0.0,0.0,0.0,0.010706,0.009838,0.004734,0.009249,0.0,0.0,0.0,0.0,0.03691,0.055252,0.042174
3.4,0.003424,0.010703,0.0,0.0,0.0,0.0,0.059967,0.031422,0.033874,0.031337,0.0,0.0,0.0,0.0,0.21711,0.204465,0.23974,0.0,0.0,0.0,0.0,0.010651,0.009297,0.005034,0.009927,0.0,0.0,0.0,0.0,0.037416,0.05496,0.040671
3.5,0.002949,0.010097,0.0,0.0,0.0,0.0,0.05974,0.033912,0.032997,0.033153,0.0,0.0,0.0,0.0,0.214016,0.20558,0.239525,0.0,0.0,0.0,0.0,0.010914,0.009464,0.004678,0.010103,0.0,0.0,0.0,0.0,0.036521,0.055826,0.040526
3.6,0.002909,0.008955,0.0,0.0,0.0,0.0,0.060017,0.034516,0.03378,0.032867,0.0,0.0,0.0,0.0,0.213125,0.204702,0.242096,0.0,0.0,0.0,0.0,0.010746,0.009471,0.004134,0.009627,0.0,0.0,0.0,0.0,0.037401,0.058711,0.036944
3.7,0.003221,0.008793,0.0,0.0,0.0,0.0,0.0603,0.033007,0.032034,0.033417,0.0,0.0,0.0,0.0,0.215222,0.202259,0.24609,0.0,0.0,0.0,0.0,0.010902,0.009613,0.004618,0.009234,0.0,0.0,0.0,0.0,0.037274,0.058323,0.035694
3.8,0.003274,0.008737,0.0,0.0,0.0,0.0,0.060113,0.031947,0.031429,0.030828,0.0,0.0,0.0,0.0,0.216243,0.205066,0.244677,0.0,0.0,0.0,0.0,0.010736,0.010009,0.0053,0.009606,0.0,0.0,0.0,0.0,0.036489,0.059457,0.036087
3.9,0.003191,0.008139,0.0,0.0,0.0,0.0,0.05974,0.030944,0.033081,0.030734,0.0,0.0,0.0,0.0,0.215781,0.201284,0.24795,0.0,0.0,0.0,0.0,0.010508,0.009974,0.005821,0.008868,0.0,0.0,0.0,0.0,0.03546,0.060955,0.037571
