Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
1.8000	0.9231	0.0005	1.8718	1.0000	RhoA	0.375919	0.004762	RhoC -- RhoA	0.129147	0.003203	RhoC	0.326780	0.004617	<nil>	0.168154	0.003678
1.9000	0.9228	0.0005	1.8664	1.0000	RhoA	0.380749	0.004781	RhoC	0.325732	0.004603	RhoC -- RhoA	0.127434	0.003186	<nil>	0.166085	0.003658
2.0000	0.9229	0.0005	1.8686	1.0000	RhoA	0.379677	0.004773	RhoC	0.325768	0.004613	RhoC -- RhoA	0.129930	0.003214	<nil>	0.164624	0.003646
2.1000	0.9232	0.0005	1.8726	1.0000	RhoA	0.377181	0.004771	RhoC	0.325323	0.004608	RhoC -- RhoA	0.131684	0.003238	<nil>	0.165812	0.003655
2.2000	0.9231	0.0005	1.8727	1.0000	RhoA	0.376459	0.004773	RhoC	0.326242	0.004615	RhoC -- RhoA	0.131945	0.003247	<nil>	0.165353	0.003655
2.3000	0.9232	0.0005	1.8732	1.0000	RhoA	0.376310	0.004765	RhoC	0.326042	0.004610	RhoC -- RhoA	0.132356	0.003235	<nil>	0.165292	0.003654
2.4000	0.9230	0.0005	1.8709	1.0000	RhoA	0.377660	0.004767	RhoC	0.326498	0.004607	RhoC -- RhoA	0.131791	0.003233	<nil>	0.164052	0.003631
2.5000	0.9230	0.0005	1.8692	1.0000	RhoA	0.380722	0.004782	RhoC	0.324723	0.004605	RhoC -- RhoA	0.132431	0.003255	<nil>	0.162123	0.003615
2.6000	0.9231	0.0005	1.8700	1.0000	RhoC	0.323225	0.004602	RhoC -- RhoA	0.133711	0.003269	RhoA	0.381513	0.004788	<nil>	0.161551	0.003618
2.7000	0.9235	0.0005	1.8720	1.0000	<nil>	0.162565	0.003635	RhoC	0.320307	0.004593	RhoC -- RhoA	0.134682	0.003266	RhoA	0.382446	0.004783
2.8000	0.9236	0.0005	1.8719	1.0000	<nil>	0.162645	0.003619	RhoC	0.318669	0.004583	RhoC -- RhoA	0.134838	0.003280	RhoA	0.383848	0.004787
2.9000	0.9237	0.0005	1.8731	1.0000	<nil>	0.162523	0.003628	RhoC	0.317244	0.004578	RhoA	0.384269	0.004785	RhoC -- RhoA	0.135964	0.003280
3.0000	0.9237	0.0005	1.8720	1.0000	<nil>	0.160789	0.003611	RhoC	0.317038	0.004577	RhoA	0.385430	0.004785	RhoC -- RhoA	0.136743	0.003285
3.1000	0.9238	0.0005	1.8734	1.0000	<nil>	0.160175	0.003605	RhoC -- RhoA	0.138321	0.003310	RhoC	0.316206	0.004572	RhoA	0.385298	0.004793
3.2000	0.9238	0.0005	1.8721	1.0000	<nil>	0.160992	0.003608	RhoC -- RhoA	0.136917	0.003295	RhoC	0.315409	0.004568	RhoA	0.386681	0.004791
3.3000	0.9234	0.0005	1.8679	1.0000	<nil>	0.161872	0.003625	RhoC	0.317681	0.004576	RhoC -- RhoA	0.133011	0.003240	RhoA	0.387436	0.004796
3.4000	0.9235	0.0005	1.8685	1.0000	<nil>	0.161005	0.003607	RhoC	0.316719	0.004571	RhoC -- RhoA	0.134259	0.003265	RhoA	0.388017	0.004796
3.5000	0.9240	0.0005	1.8739	1.0000	<nil>	0.161842	0.003614	RhoC	0.313533	0.004559	RhoC -- RhoA	0.137791	0.003292	RhoA	0.386834	0.004785
3.6000	0.9243	0.0005	1.8756	1.0000	RhoC -- RhoA	0.139245	0.003321	<nil>	0.162050	0.003629	RhoC	0.311366	0.004557	RhoA	0.387340	0.004796
3.7000	0.9248	0.0005	1.8818	1.0000	RhoC -- RhoA	0.141419	0.003338	<nil>	0.164914	0.003655	RhoC	0.309499	0.004546	RhoA	0.384168	0.004789
3.8000	0.9248	0.0005	1.8818	1.0000	RhoC -- RhoA	0.142034	0.003340	<nil>	0.164163	0.003640	RhoC	0.309762	0.004541	RhoA	0.384040	0.004785
3.9000	0.9251	0.0005	1.8832	1.0000	RhoC -- RhoA	0.143772	0.003360	<nil>	0.164060	0.003634	RhoC	0.306790	0.004529	RhoA	0.385378	0.004784
