step,time,perturbation,cell_id,ar,area_ratio,major,minor,rhoa_mean,rhoc_mean,rho_balance,dsp_mean,tjp1_mean,jcad_mean,tjp1_dsp_balance,dsp_spread,tjp1_spread,t_load_polar,t_load_lat,cortex_T_mean,cortex_a_mean,cortex_force_spread,sf_T,sf_a,sf_squeeze,activation_balance,tension_balance
1999,199.9,WT,0,1.602,1.0029,29.99,18.715,0.498,0.486,-0.012,0.34,0.33,0.578,-0.01,5.201,8.36,10.655,1.938,0.894,0.802,-0.303,11.412,0.568,3.424,-0.2340000000000001,3.674
1999,199.9,DSP_KO,0,1.812,0.9978,31.548,17.414,0.307,0.57,0.263,0.0,0.33,0.578,0.33,0.0,9.364,11.44,1.694,0.779,0.856,-0.319,13.17,0.532,3.951,-0.32399999999999995,4.079
1999,199.9,TJP1_KO,0,1.455,1.0002,28.677,19.703,0.581,0.302,-0.279,0.337,0.0,0.578,-0.337,5.031,0.0,9.005,1.997,0.931,0.778,-0.26,9.019,0.658,2.706,-0.12,3.276
1999,199.9,JCAD_KO,0,1.629,0.9983,30.141,18.497,0.448,0.451,0.003,0.338,0.328,0.0,-0.01,5.561,8.355,10.409,1.847,0.853,0.816,-0.299,11.274,0.586,3.382,-0.22999999999999998,3.724
1999,199.9,DSP_JCAD_DKO,0,1.753,1.0032,31.189,17.789,0.339,0.514,0.175,0.0,0.329,0.0,0.329,0.0,9.36,10.977,1.711,0.786,0.847,-0.321,12.44,0.557,3.732,-0.2899999999999999,3.984
1999,199.9,TJP1_JCAD_DKO,0,1.525,1.0017,29.314,19.218,0.512,0.342,-0.17,0.337,0.0,0.0,-0.337,5.36,0.0,9.465,1.908,0.888,0.798,-0.27,9.818,0.638,2.945,-0.16000000000000003,3.467
