step,time,perturbation,id,position,tensile_load,shear_load,DSP,TJP1,JCAD,rhoa,rhoc,classification
0,0.0,WT,0,"(np.float64(0.0), np.float64(12.0))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,1,"(np.float64(-4.6), np.float64(11.08))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,2,"(np.float64(-8.5), np.float64(8.48))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,3,"(np.float64(-11.11), np.float64(4.59))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,4,"(np.float64(-12.03), np.float64(0.0))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,5,"(np.float64(-11.11), np.float64(-4.59))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,6,"(np.float64(-8.5), np.float64(-8.48))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,7,"(np.float64(-4.6), np.float64(-11.08))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,8,"(np.float64(-0.0), np.float64(-12.0))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,9,"(np.float64(4.6), np.float64(-11.08))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,10,"(np.float64(8.5), np.float64(-8.48))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,11,"(np.float64(11.11), np.float64(-4.59))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,12,"(np.float64(12.03), np.float64(-0.0))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,13,"(np.float64(11.11), np.float64(4.59))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,polar
0,0.0,WT,14,"(np.float64(8.5), np.float64(8.48))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
0,0.0,WT,15,"(np.float64(4.6), np.float64(11.08))",0.0,0.0,0.19752204226133518,0.2008322976215792,0.536,0.493576633353017,0.4834819266621882,lateral
100,10.0,WT,0,"(np.float64(0.0), np.float64(10.9))",0.0,0.0,0.25564511404733486,0.23909635740193133,0.536,0.5127963589096488,0.4903501310244067,lateral
100,10.0,WT,1,"(np.float64(-4.91), np.float64(10.08))",0.0,0.0,0.2570877858305073,0.2400316121523353,0.536,0.5132372680818237,0.49053937238362966,lateral
100,10.0,WT,2,"(np.float64(-9.41), np.float64(7.88))",0.0,0.0,0.25427016353903487,0.23820463962958643,0.536,0.5123762252545094,0.49016959758517525,lateral
100,10.0,WT,3,"(np.float64(-13.01), np.float64(4.51))",0.0,0.0,0.3660618063425782,0.3110753065379424,0.536,0.5409352329011605,0.499834460879465,polar
100,10.0,WT,4,"(np.float64(-14.59), np.float64(0.0))",0.0,0.0,0.3869910516730058,0.32521284381189514,0.536,0.547752513203819,0.502095044302053,polar
100,10.0,WT,5,"(np.float64(-13.01), np.float64(-4.51))",0.0,0.0,0.3660618063425782,0.3110753065379424,0.536,0.5409352329011605,0.499834460879465,polar
100,10.0,WT,6,"(np.float64(-9.41), np.float64(-7.88))",0.0,0.0,0.25427016353903487,0.23820463962958643,0.536,0.5123762252545094,0.49016959758517525,lateral
100,10.0,WT,7,"(np.float64(-4.91), np.float64(-10.08))",0.0,0.0,0.2570877858305073,0.2400316121523353,0.536,0.5132372680818237,0.49053937238362966,lateral
100,10.0,WT,8,"(np.float64(-0.0), np.float64(-10.9))",0.0,0.0,0.25564511404733486,0.23909635740193133,0.536,0.5127963589096488,0.4903501310244067,lateral
100,10.0,WT,9,"(np.float64(4.91), np.float64(-10.08))",0.0,0.0,0.25708778583050734,0.2400316121523353,0.536,0.5132372680818237,0.4905393723836296,lateral
100,10.0,WT,10,"(np.float64(9.41), np.float64(-7.88))",0.0,0.0,0.25427016353903487,0.23820463962958643,0.536,0.5123762252545094,0.49016959758517525,lateral
100,10.0,WT,11,"(np.float64(13.01), np.float64(-4.51))",0.0,0.0,0.3660618063425781,0.3110753065379423,0.536,0.5409352329011605,0.4998344608794648,polar
100,10.0,WT,12,"(np.float64(14.59), np.float64(-0.0))",0.0,0.0,0.3869910516730058,0.32521284381189514,0.536,0.547752513203819,0.502095044302053,polar
100,10.0,WT,13,"(np.float64(13.01), np.float64(4.51))",0.0,0.0,0.3660618063425782,0.3110753065379424,0.536,0.5409352329011605,0.499834460879465,polar
100,10.0,WT,14,"(np.float64(9.41), np.float64(7.88))",0.0,0.0,0.25427016353903487,0.23820463962958643,0.536,0.5123762252545094,0.49016959758517525,lateral
100,10.0,WT,15,"(np.float64(4.91), np.float64(10.08))",0.0,0.0,0.2570877858305073,0.2400316121523353,0.536,0.5132372680818237,0.49053937238362966,lateral
200,20.0,WT,0,"(np.float64(0.0), np.float64(9.17))",0.0,0.0,0.2846343895572783,0.25784289660951987,0.536,0.5216660805819421,0.49413040025225946,lateral
200,20.0,WT,1,"(np.float64(-5.11), np.float64(8.56))",0.0,0.0,0.28445379458787945,0.2577262502253102,0.536,0.5216107947931646,0.49410691708233057,lateral
200,20.0,WT,2,"(np.float64(-9.98), np.float64(6.89))",0.0,0.0,0.2767194186313099,0.25273044436935943,0.536,0.5192430957515206,0.4931011179436568,lateral
200,20.0,WT,3,"(np.float64(-14.19), np.float64(4.2))",0.0,0.0,0.436584535680783,0.3601410524265065,0.536,0.5565342089872429,0.5102207733282957,polar
200,20.0,WT,4,"(np.float64(-16.41), np.float64(0.0))",0.0,0.0,0.47153607119147783,0.3864906718047553,0.536,0.5604698356667422,0.5173705221741822,polar
200,20.0,WT,5,"(np.float64(-14.19), np.float64(-4.2))",0.0,0.0,0.436584535680783,0.3601410524265065,0.536,0.5565342089872429,0.5102207733282957,polar
200,20.0,WT,6,"(np.float64(-9.98), np.float64(-6.89))",0.0,0.0,0.2767194186313097,0.2527304443693593,0.536,0.5192430957515206,0.4931011179436567,lateral
200,20.0,WT,7,"(np.float64(-5.11), np.float64(-8.56))",0.0,0.0,0.28445379458787945,0.2577262502253102,0.536,0.5216107947931646,0.49410691708233057,lateral
200,20.0,WT,8,"(np.float64(-0.0), np.float64(-9.17))",0.0,0.0,0.2846343895572785,0.25784289660952,0.536,0.5216660805819421,0.4941304002522594,lateral
200,20.0,WT,9,"(np.float64(5.11), np.float64(-8.56))",0.0,0.0,0.2844537945878795,0.2577262502253102,0.536,0.5216107947931647,0.49410691708233057,lateral
200,20.0,WT,10,"(np.float64(9.98), np.float64(-6.89))",0.0,0.0,0.2767194186313098,0.2527304443693593,0.536,0.5192430957515206,0.49310111794365663,lateral
200,20.0,WT,11,"(np.float64(14.19), np.float64(-4.2))",0.0,0.0,0.4365845356807829,0.3601410524265065,0.536,0.5565342089872429,0.5102207733282959,polar
200,20.0,WT,12,"(np.float64(16.41), np.float64(-0.0))",0.0,0.0,0.47153607119147783,0.3864906718047553,0.536,0.5604698356667422,0.5173705221741822,polar
200,20.0,WT,13,"(np.float64(14.19), np.float64(4.2))",0.0,0.0,0.436584535680783,0.3601410524265065,0.536,0.5565342089872429,0.5102207733282957,polar
