step,time,perturbation,id,position,tensile_load,shear_load,DSP,TJP1,JCAD,rhoa,rhoc,classification
1499,149.9,TJP1_KO,0,"(np.float64(0.0), np.float64(7.61))",0.0,0.0,0.3993344784736617,0.0,0.536,0.6845071018199914,0.24374974234342614,lateral
1499,149.9,TJP1_KO,1,"(np.float64(-5.72), np.float64(7.27))",0.0,0.0,0.39476945138927483,0.0,0.536,0.6827723915279245,0.24477687343741317,lateral
1499,149.9,TJP1_KO,2,"(np.float64(-11.24), np.float64(6.19))",0.0,0.0,0.4769103964973753,0.0,0.536,0.704686631281962,0.23098537621015747,polar
1499,149.9,TJP1_KO,3,"(np.float64(-16.1), np.float64(4.04))",0.0,0.0,0.5274041631818103,0.0,0.536,0.7150378534522711,0.2279557502090914,polar
1499,149.9,TJP1_KO,4,"(np.float64(-18.8), np.float64(0.0))",0.0,0.0,0.555439011096403,0.0,0.536,0.7207849972747626,0.2262736593342158,polar
1499,149.9,TJP1_KO,5,"(np.float64(-16.1), np.float64(-4.04))",0.0,0.0,0.5274041631818103,0.0,0.536,0.7150378534522711,0.2279557502090914,polar
1499,149.9,TJP1_KO,6,"(np.float64(-11.24), np.float64(-6.19))",0.0,0.0,0.4769103964973753,0.0,0.536,0.704686631281962,0.23098537621015747,polar
1499,149.9,TJP1_KO,7,"(np.float64(-5.72), np.float64(-7.27))",0.0,0.0,0.39476945138927483,0.0,0.536,0.6827723915279245,0.24477687343741317,lateral
1499,149.9,TJP1_KO,8,"(np.float64(0.0), np.float64(-7.61))",0.0,0.0,0.3993344784736617,0.0,0.536,0.6845071018199914,0.24374974234342614,lateral
1499,149.9,TJP1_KO,9,"(np.float64(5.72), np.float64(-7.27))",0.0,0.0,0.394769451389275,0.0,0.536,0.6827723915279245,0.24477687343741314,lateral
1499,149.9,TJP1_KO,10,"(np.float64(11.24), np.float64(-6.19))",0.0,0.0,0.4769103964973754,0.0,0.536,0.704686631281962,0.23098537621015747,polar
1499,149.9,TJP1_KO,11,"(np.float64(16.1), np.float64(-4.04))",0.0,0.0,0.5274041631818104,0.0,0.536,0.7150378534522711,0.22795575020909137,polar
1499,149.9,TJP1_KO,12,"(np.float64(18.8), np.float64(-0.0))",0.0,0.0,0.555439011096403,0.0,0.536,0.7207849972747626,0.2262736593342158,polar
1499,149.9,TJP1_KO,13,"(np.float64(16.1), np.float64(4.04))",0.0,0.0,0.5274041631818104,0.0,0.536,0.7150378534522711,0.22795575020909137,polar
1499,149.9,TJP1_KO,14,"(np.float64(11.24), np.float64(6.19))",0.0,0.0,0.4769103964973754,0.0,0.536,0.704686631281962,0.23098537621015747,polar
