perturbation,cell_id,ar,orientation,area_err,rho_balance,mean_t_cortex,mean_t_sf,mean_k_active,mean_lsf_ratio
WT,0,4.453,180.0,0.9933,-0.007,6.898,1.6615,2.3574,0.8548
DSP_KO,0,6.145,180.0,0.9961,0.541,4.5842,2.4579,1.0,0.7401
TJP1_KO,0,3.999,0.0,0.9924,-0.538,8.725,0.0,3.5767,1.0
JCAD_KO,0,4.453,180.0,0.9933,-0.007,6.898,1.6615,2.3574,0.8548
DSP_JCAD_DKO,0,5.914,180.0,0.9963,0.239,4.3782,2.1097,1.0,0.8774
TJP1_JCAD_DKO,0,5.271,0.0,0.9947,-0.236,7.2625,0.0,2.0906,1.0
